Company Name,Website,Location,About,Founded Year,Industry,Is Government Institute,Is a Private Company,Is a Research Institution,Is a Medical Center
CHEM TECHNOLOGY KK,Information not readily available,Japan,Specializes in chemical technology and solutions.,Information not readily available,Chemical Technology,No,Yes,No,No
CHONGQING IND & TRADE POLYTECHNIC,cqp.edu.cn,"Chongqing, China",A polytechnic institution focusing on industry and trade education.,Information not readily available,Education,No,No,No,No
COGNIZANT TECHNOLOGY SOLUTIONS INDIA PVT,cognizant.com,India,A global provider of IT and business consulting services.,1994,IT Services,No,Yes,No,No
ECOLE POLYTECHNICQUE FEDERALE LAUSANNE,epfl.ch,"Lausanne, Switzerland",A leading technical university with a focus on science and technology.,Information not readily available,Education/Research,No,No,Yes,No
EPFL ECOLE POLYTECH FEDERALE LAUSANNE,epfl.ch,"Lausanne, Switzerland",A prominent institution focusing on scientific and engineering research.,Information not readily available,Education/Research,No,No,Yes,No
FRICKE & MALLAH MICROWAVE TECHNOLOGY GMB,Information not readily available,Germany,Specializes in microwave technology and related solutions.,Information not readily available,Technology,No,Yes,No,No
IIECC CHINA ENVIRONMENTAL SCI TECHNOLOGY,Information not readily available,China,Focuses on environmental science and technology solutions.,Information not readily available,Environmental Technology,No,Yes,No,No
PARKER SURFACE TECHNOLOGY ASIA PACIFIC,Information not readily available,Asia Pacific,Specializes in surface technology and engineering solutions.,Information not readily available,Surface Technology,No,Yes,No,No
PURUI QIANHAI SHENZHEN INTELLIGENT TECHN,Information not readily available,"Shenzhen, China",Focuses on intelligent technology and innovative solutions.,Information not readily available,Technology,No,Yes,No,No
REGIONAL CENT BIOTECHNOLOGY,Information not readily available,India,Specializes in biotechnology research and development.,Information not readily available,Biotechnology,No,Yes,Yes,No
SHAANXI YUANBANG BIOLOGICAL TECHNOLOGY,Information not readily available,"Shaanxi, China",Engages in biological technology and related research.,Information not readily available,Biotechnology,No,Yes,No,No
SHANDONG ANJIE HI-TECH DISINFECTION TECH,Information not readily available,"Shandong, China",Specializes in high-tech disinfection technology.,Information not readily available,Disinfection Technology,No,Yes,No,No
SHANDONG BOGUAN CHENGXIANG BIOTECHNOLOGY,Information not readily available,"Shandong, China",Focuses on biotechnology and innovative solutions.,Information not readily available,Biotechnology,No,Yes,No,No
SHANDONG HUABO KASEN BIOLOGICAL TECHNOLO,Information not readily available,"Shandong, China",Engages in biological technology research and development.,Information not readily available,Biotechnology,No,Yes,No,No
SHANDONG HUBBLE KISEN BIOLOGICAL TECHNOL,Information not readily available,"Shandong, China",Specializes in biological technology solutions.,Information not readily available,Biotechnology,No,Yes,No,No
SHANDONG IND TECHNOLOGY HEALTH SCI,Information not readily available,"Shandong, China",Focuses on industrial technology and health sciences.,Information not readily available,Health Technology,No,Yes,No,No
SHANDONG JINSI NEW MATERIAL TECHNOLOGY,Information not readily available,"Shandong, China",Specializes in new material technology and solutions.,Information not readily available,New Materials Technology,No,Yes,No,No
SHANDONG MENGYUAN NEW MATERIAL TECHNOLOG,Information not readily available,"Shandong, China",Focuses on the development and application of new materials.,Information not readily available,New Materials Technology,No,Yes,No,No
SHANDONG QILU CELL THERAPY ENG TECHNOLOG,Information not readily available,"Shandong, China",Specializes in cell therapy engineering and biotechnology.,Information not readily available,Biotechnology,No,Yes,No,No
SHANDONG QUANGANG RADIATION SCIEN-TECH,Information not readily available,"Shandong, China",Focuses on radiation science and technology solutions.,Information not readily available,Radiation Technology,No,Yes,No,No
SHANGCHENG BEINA CHUANGLIAN BIOTECHNOLOG,Information not readily available,China,Specializes in biotechnology and related innovations.,Information not readily available,Biotechnology,No,Yes,No,No
SHANGHAI 3D BIOMEDICINE SCI & TECHNOLOGY,Information not readily available,"Shanghai, China",Focuses on biomedicine and 3D technology applications in healthcare.,Information not readily available,Biomedical Technology,No,Yes,No,No
SHANGHAI BEAUTIFUL LIFE MEDICAL TECHNOLO,Information not readily available,"Shanghai, China",Specializes in medical technology aimed at enhancing life quality.,Information not readily available,Medical Technology,No,Yes,No,No
SHANGHAI BIOMEDICAL & PHARM TECHNOLOGIES,Information not readily available,"Shanghai, China",Engages in biomedical and pharmaceutical technology development.,Information not readily available,Biomedical Technology/Pharmaceuticals,No,Yes,No,No
SHANGHAI CHENGXIN FACILITIES TECHNOLOGY,Information not readily available,"Shanghai, China",Specializes in facilities technology and infrastructure solutions.,Information not readily available,Facilities Technology,No,Yes,No,No
SHANGHAI HONGXU BIOLOGICAL MEDICAL TECHN,Information not readily available,"Shanghai, China",Focuses on biological medical technology and innovations.,Information not readily available,Biomedical Technology,No,Yes,No,No
SHANGHAI HUIHE MEDICAL TREATMENT TECHNOL,Information not readily available,"Shanghai, China",Specializes in medical treatment technology and healthcare solutions.,Information not readily available,Medical Technology,No,Yes,No,No
SHANGHAI JENOMED BIOLOGICAL TECHNOLOGY,Information not readily available,"Shanghai, China",Focuses on biological technology and innovative biotech solutions.,Information not readily available,Biotechnology,No,Yes,No,No
SHANGHAI JINSI YUANCHUANG BIOTECHNOLOGY,Information not readily available,"Shanghai, China",Engages in biotechnology research and development with a focus on innovation.,Information not readily available,Biotechnology,No,Yes,No,No
SHANGHAI JUNTOP BIOSCI TECHNOLOGY,Information not readily available,"Shanghai, China",Specializes in bioscience technology and related innovations.,Information not readily available,Bioscience Technology,No,Yes,No,No
SHANGHAI JUZHI NEW MATERIAL TECHNOLOGY,Information not readily available,"Shanghai, China",Focuses on the development and application of new material technologies.,Information not readily available,New Materials Technology,No,Yes,No,No
SHANGHAI KAIJING BIOLOGICAL TECHNOLOGY,Information not readily available,"Shanghai, China",Engages in biological technology research and development.,Information not readily available,Biotechnology,No,Yes,No,No
SHANGHAI LANANG MEDICAL TECHNOLOGY DEV,Information not readily available,"Shanghai, China",Specializes in the development of medical technology and healthcare solutions.,Information not readily available,Medical Technology,No,Yes,No,No
SHANGHAI LANGYAN OPTOELECTRONICS TECHNOL,Information not readily available,"Shanghai, China",Focuses on optoelectronics technology and related innovations.,Information not readily available,Optoelectronics,No,Yes,No,No
SHANGHAI LIANGRUN BIOMEDICINE SCI & TECH,Information not readily available,"Shanghai, China",Engages in biomedicine and pharmaceutical technology development.,Information not readily available,Biomedical Technology/Pharmaceuticals,No,Yes,No,No
SHANGHAI METROLOGY & TESTING TECHNOLOGY,Information not readily available,"Shanghai, China",Specializes in metrology and testing technology for various applications.,Information not readily available,Metrology and Testing,No,Yes,No,No
SHANGHAI NAT ENG RES CENT NANOTECHNOLOGY,Information not readily available,"Shanghai, China","Focuses on research and development in nanotechnology, providing engineering solutions.",Information not readily available,Nanotechnology,No,No,Yes,No
SHANGHAI PINJIA MEDICAL HEALTH TECHNOLOG,Information not readily available,"Shanghai, China",Specializes in medical health technology and innovative healthcare solutions.,Information not readily available,Medical Technology,No,Yes,No,No
SHANGHAI QUALITY AIR PURIFICATION TECHNO,Information not readily available,"Shanghai, China",Focuses on air purification technology and solutions for improving air quality.,Information not readily available,Air Purification Technology,No,Yes,No,No
SHENZHEN BAISUIHUAN INTELLIGENT TECHNOLO,Information not readily available,"Shenzhen, China",Specializes in intelligent technology and smart solutions.,Information not readily available,Intelligent Technology,No,Yes,No,No
SHENZHEN BUAA EMERGING IND TECHNOLOGY,Information not readily available,"Shenzhen, China",Focuses on emerging industry technologies and innovative solutions.,Information not readily available,Emerging Technologies,No,Yes,No,No
SHENZHEN CRYSTALO BIOPHARMA TECHNOLOGY,Information not readily available,"Shenzhen, China","Engages in biopharma technology, focusing on drug development and biotechnology.",Information not readily available,Biopharmaceutical Technology,No,Yes,No,No
SHENZHEN YILI ENVIRONMENTAL TECHNOLOGY C,Information not readily available,"Shenzhen, China","Specializes in environmental technology, providing solutions for environmental protection.",Information not readily available,Environmental Technology,No,Yes,No,No
ALL INDIA INST MEDICAL SCI,aiims.edu,"New Delhi, India","AIIMS is a group of autonomous public medical colleges in India that provides top-tier medical education, research, and healthcare services. It is considered one of the most prestigious medical institutions in the country.",1956,Medical Education and Healthcare,Yes,No,Yes,Yes
ALL INDIA MEDICAL SCI JODHPUR INST,aiimsjodhpur.edu.in,"Jodhpur, India","A premier medical institute providing high-quality medical education, research, and healthcare services.",2012,Medical Education and Healthcare,Yes,No,Yes,Yes
ALL INDIA MEDICAL SCI RISHIKESH INST,aiimsrishikesh.edu.in,"Rishikesh, India","A leading medical institute dedicated to medical education, research, and healthcare services.",2012,Medical Education and Healthcare,Yes,No,Yes,Yes
AMBEDKAR NAT INST TECHNOLOGY B R,nitj.ac.in,"Jalandhar, India","A premier institute of engineering and technology offering undergraduate, postgraduate, and doctoral programs.",1987,Higher Education and Research,Yes,No,Yes,No
ANHUI INFORMATION TECHNOLOGY INST,Information not readily available,"Anhui, China",Focuses on information technology education and research.,Information not readily available,Information Technology Education,Yes,No,Yes,No
ANIL NEERUKONDA TECHNOLOGY & SCI INST,anits.edu.in,"Visakhapatnam, India",An engineering college providing quality technical education in various engineering disciplines.,2001,Engineering Education,No,Yes,Yes,No
ANYANG INST TECHNOLOGY,Information not readily available,"Anyang, China",An institute specializing in engineering and technology education.,Information not readily available,Engineering and Technology Education,Yes,No,Yes,No
ATAL BIHARI VAJPAYEE INDIAN INST INFORMA,iiitm.ac.in,"Gwalior, India",A premier institute offering education and research in information technology and management.,1997,Information Technology and Management Education,Yes,No,Yes,No
BANNARI AMMAN TECHNOLOGY INST,bitsathy.ac.in,"Sathyamangalam, India",An engineering college offering various undergraduate and postgraduate programs.,1996,Engineering Education,No,Yes,Yes,No
BEIJING INST PETROCHEMICAL TECHNOLOGY,bipt.edu.cn,"Beijing, China",Focuses on petrochemical technology education and research.,1978,Petrochemical Engineering Education,Yes,No,Yes,No
BEIJING INST TECHNOLOGY,bit.edu.cn,"Beijing, China",A leading national university in China known for its engineering and technology programs.,1940,Higher Education and Research,Yes,No,Yes,No
BEIJING INST TRADITIONAL CHINESE MEDICIN,Information not readily available,"Beijing, China",Specializes in education and research in traditional Chinese medicine.,Information not readily available,Traditional Chinese Medicine,Yes,No,Yes,Yes
BEIJING YANGKANGTANG TRADITIONAL CHINESE MEDICINE RES INST,Information not readily available,"Beijing, China",Focuses on research and development in traditional Chinese medicine.,Information not readily available,Traditional Chinese Medicine,No,Yes,Yes,No
BHARATH HIGHER EDUCATION & RES INST,bharathuniv.ac.in,"Chennai, India","A multidisciplinary university offering programs in engineering, medicine, and humanities.",1984,Higher Education,No,Yes,Yes,No
BIRLA TECHNOLOGY & SCI INST,bits-pilani.ac.in,"Pilani, India","A leading private institute in India known for its engineering, sciences, and management programs.",1964,Higher Education and Research,No,Yes,Yes,No
BIRSA TECHNOLOGY INST SINDRI,bitsindri.ac.in,"Sindri, India","A premier engineering college in Jharkhand, India, offering undergraduate and postgraduate programs.",1949,Engineering Education,Yes,No,Yes,No
CALIFORNIA INST OF TECHNOLOGY,caltech.edu,"Pasadena, California, USA",A world-renowned institute known for its research and education in science and engineering.,1891,Higher Education and Research,No,Yes,Yes,No
CENT LILLE INST,centralelille.fr,"Lille, France","A leading engineering school in France offering programs in engineering, science, and technology.",1854,Engineering Education and Research,Yes,No,Yes,No
CHANGZHOU INST TECHNOLOGY,czit.edu.cn,"Changzhou, China","An educational institution offering various programs in engineering, technology, and applied sciences.",1978,Higher Education,Yes,No,Yes,No
CHENGDU BIOLOGICAL PROD INST,Information not readily available,"Chengdu, China","Specializes in the development and production of biological products, including vaccines and biopharmaceuticals.",Information not readily available,Biopharmaceuticals,Yes,No,Yes,No
CHILDRENS MEDICAL RES INST,cmri.org.au,"Westmead, New South Wales, Australia","An independent medical research organization dedicated to advancing the health and wellbeing of children through research in areas such as cancer, neurobiology, and gene therapy.",1958,Medical Research,No,No,Yes,No
CMR TECHNOLOGY INST,cmrit.ac.in,"Bangalore, India",An engineering and technology institute offering undergraduate and postgraduate programs in various engineering disciplines.,2000,Higher Education,No,Yes,Yes,No
COIMBATORE INST TECHNOLOGY,cit.edu.in,"Coimbatore, India",A prestigious engineering and technology institute known for its academic excellence and research contributions.,1956,Higher Education,No,Yes,Yes,No
CRAIG VENTER INST J,jcvi.org,"Rockville, Maryland, USA","A nonprofit research organization dedicated to genomic research and the application of genomics to various scientific fields, including synthetic biology and environmental genomics.",2006,Genomic Research,No,No,Yes,No
DAEGU GYEONGBUK INST SCI & TECHNOLOGY,dgist.ac.kr,"Daegu, South Korea","A research-oriented university specializing in science and technology, with a focus on interdisciplinary research and innovation.",2004,Higher Education and Research,Yes,No,Yes,No
DON BOSCO TECHNOLOGY INST,dbit.in,"Mumbai, India",An engineering college offering undergraduate and postgraduate programs in engineering and technology.,2001,Higher Education,No,Yes,Yes,No
FRANKLIN INST ROSALIND,rosalindfranklin.edu,"North Chicago, Illinois, USA","A health sciences university focused on interprofessional education and research in the medical, healthcare, and biomedical fields.",1912,Higher Education and Medical Research,No,Yes,Yes,Yes
GL BAJAJ TECHNOLOGY & MANAGEMENT INST,glbitm.ac.in,"Greater Noida, India","An engineering and management institute offering undergraduate and postgraduate programs in engineering, management, and information technology.",2005,Higher Education,No,Yes,Yes,No
JACOBS TECHNION-CORNELL INST,tech.cornell.edu,"New York, USA","A partnership between the Technion â Israel Institute of Technology and Cornell University, focusing on graduate education and research in applied sciences and technology.",2011,Higher Education and Research,No,Yes,Yes,No
MEDICINAL PLANT DEV INST,Information not readily available,Information not readily available,"Focuses on the research, development, and commercialization of medicinal plants and natural products.",Information not readily available,Biotechnology and Herbal Medicine,Information not readily available,Information not readily available,Yes,No
OTTAWA HEALTH RES INST,Information not readily available,"Ottawa, Canada","A research institute dedicated to health research, affiliated with The Ottawa Hospital and the University of Ottawa.",2001,Medical Research,No,No,Yes,No
OTTAWA HOSPITAL RES INST,ohri.ca,"Ottawa, Canada","The research arm of The Ottawa Hospital and affiliated with the University of Ottawa, focusing on medical research across various disciplines.",2001,Medical Research,No,No,Yes,Yes
PASTEUR INST,pasteur.fr,"Paris, France","An internationally renowned biomedical research center focusing on the study of biology, microorganisms, diseases, and vaccines. It is named after Louis Pasteur, one of the pioneers of microbiology.",1887,Biomedical Research,No,No,Yes,No
QIANGXIN TECHNOLOGY INST,Information not readily available,Information not readily available,"Specializes in technological research and development, particularly in areas related to advanced technologies and innovation.",Information not readily available,Technology Research,Information not readily available,Information not readily available,Yes,No
QIMR BERGHOFER MEDICAL RES INST,qimrberghofer.edu.au,"Brisbane, Australia","One of Australia's leading medical research institutions, focusing on cancer, infectious diseases, mental health, and chronic disorders.",1945,Medical Research,No,No,Yes,No
QINGDAO INST BIOENERGY & BIOPROCESS TECH,qibebt.cas.cn,"Qingdao, China","A research institute under the Chinese Academy of Sciences, focusing on bioenergy, bioprocessing technologies, and related fields.",2006,Biotechnology and Bioenergy,Yes,No,Yes,No
REED ARMY INST RES WALTER,wrair.army.mil,"Silver Spring, Maryland, USA","The largest biomedical research facility administered by the U.S. Department of Defense, focusing on infectious diseases, vaccines, and military medicine.",1893,Military Medical Research,Yes,No,Yes,Yes
SHAANXI MICROBIOLOGY INST,Information not readily available,"Shaanxi, China","A research institute dedicated to the study of microbiology, focusing on microbial resources, ecology, and industrial applications.",Information not readily available,Microbiology Research,Yes,No,Yes,No
SHANGHAI BIOLOGICAL PROD INST MIN HEALTH,Information not readily available,"Shanghai, China","A research institute focused on the development and production of biological products, including vaccines and other biopharmaceuticals.",Information not readily available,Biopharmaceuticals,Yes,No,Yes,No
SHANGHAI CANCER INST,Information not readily available,"Shanghai, China","A leading cancer research institution in China, focusing on cancer prevention, diagnosis, treatment, and research.",1958,Cancer Research,Yes,No,Yes,Yes
SHANGHAI FOOD & DRUG INSPECTION RES INST,Information not readily available,"Shanghai, China","A research institute specializing in the inspection, quality control, and safety evaluation of food and drugs.",Information not readily available,Food and Drug Safety,Yes,No,Yes,No
SHANGHAI INST IMMUNOLOGY,Information not readily available,"Shanghai, China","A research institute dedicated to the study of immunology, with a focus on immune response mechanisms and immunotherapy.",Information not readily available,Immunology Research,Yes,No,Yes,No
SHANGHAI INST INFECTIOUS DISEASE & BIOSE,Information not readily available,"Shanghai, China","Focuses on research related to infectious diseases and biosecurity, contributing to public health and safety.",Information not readily available,Infectious Disease Research,Yes,No,Yes,No
SHANGHAI INST MATERIA MEDICA CHINESE ACA,simm.cas.cn,"Shanghai, China","A research institute focusing on drug discovery, pharmacology, and traditional Chinese medicine, under the Chinese Academy of Sciences.",1932,Pharmaceutical Research,Yes,No,Yes,No
SHANGHAI INST MEASUREMENT & TESTING TECH,Information not readily available,"Shanghai, China","Specializes in metrology and testing technology, ensuring the accuracy and reliability of measurements and instruments.",Information not readily available,Metrology and Testing,Yes,No,Yes,No
SHANGHAI INST MICROSYSTEM & INFORMATION,simit.cas.cn,"Shanghai, China","Focuses on research and development in microsystems and information technology, with applications in electronics, communications, and computing.",1928,Information Technology and Microsystems,Yes,No,Yes,No
SHANGHAI INST PLANNED PARENTHOOD RES,sippr.org,"Shanghai, China","A research institute dedicated to reproductive health and planned parenthood, including contraception, fertility, and sexual health.",1978,Reproductive Health Research,Yes,No,Yes,No
SHANGHAI INT HUMAN PHENOME INST,shanghai.hpi.org,"Shanghai, China","Focuses on human phenome research, studying the interaction between genetic and environmental factors to understand human health and diseases.",Information not readily available,Phenome Research,Yes,No,Yes,No
SHANGHAI LABWAY MEDICAL EXAMINATION INST,Information not readily available,"Shanghai, China","Specializes in medical examinations and diagnostic services, providing a wide range of health testing services.",Information not readily available,Medical Diagnostics,No,Yes,No,Yes
SHANGHAI MEASUREMENT & TESTING TECH INST,Information not readily available,"Shanghai, China","Focuses on metrology and testing technology, ensuring accuracy in measurements across various industries.",Information not readily available,Measurement and Testing,Yes,No,Yes,No
SHANGHAI MUNICIPAL ENG DESIGN INST,smed.com.cn,"Shanghai, China","A comprehensive engineering design firm involved in municipal infrastructure projects including water, transportation, and public utilities.",1954,Engineering Design,No,Yes,No,No
SHANGHAI ORGANIC CHEM INST,sioc.cas.cn,"Shanghai, China","A leading research institute in organic chemistry, focusing on the synthesis and application of organic compounds.",1950,Chemical Research,Yes,No,Yes,No
SHANGHAI PUBLIC UTILITIES INST,Information not readily available,"Shanghai, China","Specializes in research and development related to public utilities, including water supply, waste management, and energy systems.",Information not readily available,Public Utilities,Yes,No,Yes,No
SHENYANG AUTOMATION INST CAS,sia.cas.cn,"Shenyang, China","A research institute focused on automation, robotics, and intelligent systems, part of the Chinese Academy of Sciences.",1958,Automation and Robotics,Yes,No,Yes,No
SHENZHEN BAOAN NEW MATERIAL RES INST,Information not readily available,"Shenzhen, China","Engaged in the research and development of new materials, focusing on innovative applications in various industries.",Information not readily available,New Materials Research,Yes,No,Yes,No
SHENZHEN BGI LIFE SCI INST,genomics.cn,"Shenzhen, China","A leading genomics research institute specializing in genetic research, sequencing, and bioinformatics.",1999,Genomics and Biotechnology,No,Yes,Yes,No
SKOLKOVO SCI TECHNOLOGY INST,skoltech.ru,"Moscow, Russia","A private graduate research university focused on applied science and technology, fostering innovation and entrepreneurship.",2011,Education and Research,No,Yes,Yes,No
VELLORE INST TECHNOLOGY,vit.ac.in,"Vellore, India","A private deemed university offering undergraduate and postgraduate programs in engineering, technology, and management.",1984,Higher Education,No,Yes,Yes,No
VEMU TECHNOLOGY INST,vemu.org,"Chittoor, India",A private engineering college offering various undergraduate and postgraduate programs in engineering and technology.,2008,Higher Education,No,Yes,No,No
VISHWAKARMA INFORMATION TECHNOLOGY INST,vit.edu,"Pune, India",A private autonomous institute offering undergraduate and postgraduate programs in engineering and technology.,1983,Higher Education,No,Yes,Yes,No
VNR VIGNANA JYOTHI INST ENG & TECHNOLOGY,vnrvjiet.ac.in,"Hyderabad, India",An autonomous engineering college offering a range of undergraduate and postgraduate programs in engineering.,1995,Higher Education,No,Yes,Yes,No
WUHAN BIOENGINEERING INST,wube.edu.cn,"Wuhan, China","A higher education institution specializing in bioengineering, offering programs and conducting research in related fields.",1983,Higher Education and Bioengineering,No,Yes,Yes,No
WUHAN INST TECHNOLOGY,wit.edu.cn,"Wuhan, China","A public university offering a wide range of undergraduate and postgraduate programs in engineering, technology, and sciences.",1972,Higher Education,Yes,No,Yes,No
BEIJING HARMONY HEALTH MEDICAL DIAGNOSTI,Information not readily available,"Beijing, China","Specializes in medical diagnostics and health services, offering comprehensive diagnostic testing and health check-ups.",Information not readily available,Medical Diagnostics,No,Yes,No,Yes
BETH ISRAEL DEACONESS MEDICAL CENT,bidmc.org,"Boston, Massachusetts, USA","A teaching hospital of Harvard Medical School, providing comprehensive healthcare services, including specialty care, surgery, and research.",1996 (merger of Beth Israel Hospital and Deaconess Hospital),Healthcare,No,Yes,Yes,Yes
CHENZHOU NO 1 PEOPLES HOSPITAL,Information not readily available,"Chenzhou, Hunan, China","A general hospital providing a range of medical services, including emergency care, surgery, and specialized treatments.",Information not readily available,Healthcare,Yes,No,No,Yes
CHIFENG HOSPITAL,Information not readily available,"Chifeng, Inner Mongolia, China","A general hospital offering comprehensive medical services, including inpatient and outpatient care, surgery, and emergency services.",Information not readily available,Healthcare,Yes,No,No,Yes
CHILDREN'S HOSPITAL MEDICAL CENT,cincinnatichildrens.org,"Cincinnati, Ohio, USA","A leading pediatric hospital and research center dedicated to improving children's health through patient care, research, and education.",1883,Pediatric Healthcare,No,Yes,Yes,Yes
CHILDRENS HOSPITAL MEDICAL CENT,chop.edu,"Philadelphia, Pennsylvania, USA","One of the largest and oldest pediatric hospitals in the world, providing advanced pediatric care and conducting groundbreaking research.",1855,Pediatric Healthcare,No,Yes,Yes,Yes
CHILDRENS NAT MEDICAL CENT,childrensnational.org,"Washington, D.C., USA","A premier pediatric hospital offering comprehensive healthcare services for children, including specialized treatments and research.",1870,Pediatric Healthcare,No,Yes,Yes,Yes
CRANIOMED GROUP SRL,Information not readily available,Italy,"A company specializing in the development and production of medical devices, particularly those related to cranial and spinal treatments.",Information not readily available,Medical Devices,No,Yes,No,No
CREMED PUBL AB,Information not readily available,Sweden,"A company focused on healthcare and medical publishing, providing educational materials and resources for medical professionals.",Information not readily available,Healthcare Publishing,No,Yes,No,No
DAEGU GYEONGBUK MEDICAL INNOVATION FOUND,dgmif.re.kr,"Daegu, South Korea","A research institution dedicated to the development of medical technologies and innovation in healthcare, particularly in biotechnology and pharmaceuticals.",2008,Medical Research and Innovation,Yes,No,Yes,No
JIANGSU PROVINCE CHINESE MEDICINE HOSPIT,jszyy.com,"Nanjing, Jiangsu, China","A leading hospital specializing in traditional Chinese medicine, offering a range of treatments and healthcare services.",1936,Traditional Chinese Medicine,Yes,No,Yes,Yes
MEDIAPHARMA SRL,Information not readily available,Italy,A pharmaceutical company specializing in the development and distribution of medical products and healthcare solutions.,Information not readily available,Pharmaceuticals,No,Yes,No,No
MEDICAL & SCI AG,Information not readily available,Switzerland,"Focuses on medical and scientific technology, including the development and application of healthcare innovations.",Information not readily available,Medical Technology,No,Yes,No,No
MEDICAL FARM ILAC VE SAGLIK UERUENLERI,Information not readily available,Turkey,A pharmaceutical company involved in the production and distribution of medicines and healthcare products.,Information not readily available,Pharmaceuticals,No,Yes,No,No
MEDICARE LC,Information not readily available,Information not readily available,"A company specializing in healthcare services, including medical diagnostics and treatment solutions.",Information not readily available,Healthcare Services,No,Yes,No,No
MEDICHROME KK,Information not readily available,Japan,"Specializes in medical diagnostic products and healthcare solutions, focusing on innovative technologies in medical imaging.",Information not readily available,Medical Diagnostics,No,Yes,No,No
MEDICONET,mediconet.com,Information not readily available,A company involved in the development and distribution of medical products and healthcare solutions.,Information not readily available,Healthcare Products,No,Yes,No,No
MEDICORTEX FINLAND OY,medicortex.fi,"Tampere, Finland",A biotechnology company focused on developing diagnostics and treatments for brain injuries and neurological disorders.,2010,Biotechnology,No,Yes,Yes,No
MEDICOVER GMBH,medicover.com,Germany,"Provides a range of healthcare services, including primary care, specialty care, and diagnostics across multiple countries.",1995,Healthcare Services,No,Yes,No,Yes
OSONG MEDICAL INNOVATION FOUND,osongfoundation.org,"Osong, South Korea","Focuses on advancing medical research and innovation, particularly in the fields of biotechnology and pharmaceuticals.",2006,Medical Research and Innovation,Yes,No,Yes,No
QINGDAO BODHI HUISHENG HEALTH MEDICAL,Information not readily available,"Qingdao, China","Specializes in health and medical products, including wellness and therapeutic solutions.",Information not readily available,Health and Wellness,No,Yes,No,No
QINGDAO CENT HOSPITAL,Information not readily available,"Qingdao, Shandong, China","A general hospital providing a range of medical services, including emergency care, surgery, and specialty treatments.",Information not readily available,Healthcare,Yes,No,No,Yes
QINGDAO MUNICIPAL HOSPITAL,Information not readily available,"Qingdao, Shandong, China",A major public hospital offering comprehensive medical services and specialized care.,Information not readily available,Healthcare,Yes,No,No,Yes
