Company Name,Website,Location,About,Founded Year,Industry,Is Government Institute,Is a private company,Is a research institution,Is a medical center (e.g. hospital or clinic),4. SHANGHAI JIADING CENTRAL HOSPITAL,15. SHANGHAI TONGREN HOSPITAL,O ChatGPT disse,I TECHNOLOGY CO LTD
SHANDONG FAXIAN BIOTECHNOLOGY CO LTD,[Not Available],"Shandong, China","A biotechnology company involved in the research, development, and manufacturing of biotechnological products for various industries.",[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANDONG H & Z LIFE SCIENCE CO LTD,[Not Available],"Shandong, China","A company engaged in the development and production of life sciences products, focusing on biotechnology and healthcare solutions.",[Not Available],Life Sciences/Biotechnology,No,Yes,Yes,No,,,,
SHANDONG HEALTH MEDICAL BIG DATA CO LTD,[Not Available],"Shandong, China","A company focused on leveraging big data technology to improve healthcare services, data analytics, and medical research.",[Not Available],Health Technology/Big Data,No,Yes,Yes,No,,,,
SHANDONG HELONG ELECTRONIC TECHNOLOGY CO LTD,[Not Available],"Shandong, China",A company specializing in the development and manufacturing of electronic technology products.,[Not Available],Electronics,No,Yes,No,No,,,,
SHANDONG HONGJITANG PHARMACEUTICAL GROUP CO LTD,[Not Available],"Shandong, China",A pharmaceutical company engaged in the production of traditional Chinese medicine and modern pharmaceuticals.,[Not Available],Pharmaceuticals,No,Yes,Yes,No,,,,
SHANDONG HUABO KASEN BIOLOGICAL TECHNOLOGY CO LTD,[Not Available],"Shandong, China","A biotechnology company focused on the research, development, and production of biological products.",[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANDONG HUBBLE KISEN BIOLOGICAL TECHNOLOGY CO LTD,[Not Available],"Shandong, China","A company involved in the research and production of biological and biotechnological products, particularly in healthcare.",[Not Available],Biotechnology/Healthcare,No,Yes,Yes,No,,,,
SHANDONG INDUSTRIAL TECHNOLOGY HEALTH SCIENCE CO LTD,[Not Available],"Shandong, China","A company that integrates industrial technology with health sciences, focusing on developing innovative healthcare solutions.",[Not Available],Health Technology/Industrial Technology,No,Yes,Yes,No,,,,
SHANDONG JINSI NEW MATERIAL TECHNOLOGY CO LTD,[Not Available],"Shandong, China","A company specializing in the development and production of new materials, with a focus on innovation and technology.",[Not Available],New Materials/Technology,No,Yes,Yes,No,,,,
SHANDONG JITE INDUSTRIAL TECHNOLOGY CO LTD,[Not Available],"Shandong, China","A company involved in industrial technology, focusing on the research, development, and production of industrial products.",[Not Available],Industrial Technology,No,Yes,Yes,No,,,,
SHANDONG JUNLI BIOLOGICAL MEDICINE CO LTD,[Not Available],"Shandong, China",A biotechnology company focused on the research and development of biological medicines.,[Not Available],Biotechnology/Biological Medicine,No,Yes,Yes,No,,,,
SHANDONG KANGHUA BIOTECHNOLOGY CO LTD,[Not Available],"Shandong, China","A company engaged in the biotechnology sector, focusing on the development of innovative biotechnological solutions for healthcare.",[Not Available],Biotechnology/Healthcare,No,Yes,Yes,No,,,,
SHANDONG KEXUN BIOCHIP TECHNOLOGY CO LTD,[Not Available],"Shandong, China",A biotechnology company that specializes in the development and production of biochips and related biotechnological products.,[Not Available],Biotechnology/Biochips,No,Yes,Yes,No,,,,
SHANDONG KUANHEZHENG BIOLOGICAL MEDICINE CO LTD,[Not Available],"Shandong, China",A biotechnology company focused on the research and development of biological medicines for various therapeutic applications.,[Not Available],Biotechnology/Biological Medicine,No,Yes,Yes,No,,,,
SHANDONG LAIBO BIOTECHNOLOGY CO LTD,[Not Available],"Shandong, China","A biotechnology company involved in the research, development, and production of biotechnological products for healthcare and pharmaceutical industries.",[Not Available],Biotechnology/Pharmaceuticals,No,Yes,Yes,No,,,,
SHANDONG LANYOUNG INTELLIGENT TECHNOLOGY CO LTD,[Not Available],"Shandong, China","A company specializing in intelligent technology solutions, with a focus on innovation in industrial and automation technologies.",[Not Available],Technology/Intelligent Systems,No,Yes,No,No,,,,
SHANDONG LIFEI BIOLOGICAL INDUSTRY CO LTD,[Not Available],"Shandong, China","A biotechnology company focused on the development and production of biological products, particularly for the health and agriculture industries.",[Not Available],Biotechnology/Agriculture,No,Yes,Yes,No,,,,
SHANDONG LINGHAI BIOTECHNOLOGY CO LTD,[Not Available],"Shandong, China","A biotechnology company engaged in the research and development of biotechnological solutions for various industries, including healthcare and agriculture.",[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANDONG LIRCON MEDICAL TECHNOLOGY CO LTD,[Not Available],"Shandong, China","A company specializing in medical technology, focusing on the development of innovative healthcare products and solutions.",[Not Available],Medical Technology,No,Yes,Yes,No,,,,
SHANDONG LUHUA LONGXIN BIOTECHNOLOGY CO LTD,[Not Available],"Shandong, China",A biotechnology company involved in the development and production of biotechnological products for healthcare and agriculture.,[Not Available],Biotechnology/Healthcare/Agriculture,No,Yes,Yes,No,,,,
SHANDONG MAIRUIKE BIOTECHNOLOGY CO LTD,[Not Available],"Shandong, China","A company focused on the research, development, and production of biotechnology products for various applications, including healthcare.",[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANDONG MENGYUAN NEW MATERIAL TECHNOLOGY CO LTD,[Not Available],"Shandong, China","A company specializing in the development and production of new materials, focusing on innovation and technological advancements in various industries.",[Not Available],New Materials/Technology,No,Yes,Yes,No,,,,
SHANDONG MODERN CHINESE MEDICINE INSTITUTE CO LTD,[Not Available],"Shandong, China","A research institute focused on the development and modernization of traditional Chinese medicine, integrating modern scientific methods with traditional practices.",[Not Available],Traditional Chinese Medicine/Research,No,Yes,Yes,No,,,,
SHANDONG PROVINCIAL HOSPITAL,[Not Available],"Shandong, China","A major healthcare facility in Shandong Province, providing a wide range of medical services, including advanced treatments and patient care.",[Not Available],Healthcare/Hospital,Yes,No,Yes,Yes,,,,
SHANDONG QILU CELL THERAPY ENGINEERING TECHNOLOGY CO LTD,[Not Available],"Shandong, China","A biotechnology company specializing in cell therapy research and development, focusing on innovative treatments for various diseases.",[Not Available],Biotechnology/Cell Therapy,No,Yes,Yes,No,,,,
SHANDONG QIUPAI COSMETICS CO LTD,[Not Available],"Shandong, China","A company engaged in the development, production, and distribution of cosmetic products, focusing on innovation and quality.",[Not Available],Cosmetics,No,Yes,No,No,,,,
SHANDONG QUANGANG RADIATION SCIENCE AND TECHNOLOGY CO LTD,[Not Available],"Shandong, China","A company focused on the application of radiation science and technology, particularly in industrial and healthcare sectors.",[Not Available],Radiation Technology/Science,No,Yes,Yes,No,,,,
SHANDONG RUIYING PIONEER PHARMACEUTICAL CO LTD,[Not Available],"Shandong, China","A pharmaceutical company involved in the research, development, and manufacturing of innovative pharmaceutical products.",[Not Available],Pharmaceuticals,No,Yes,Yes,No,,,,
SHANDONG RUNZE PHARMACEUTICAL CO LTD,[Not Available],"Shandong, China",A pharmaceutical company engaged in the production and distribution of a wide range of pharmaceutical products.,[Not Available],Pharmaceuticals,No,Yes,Yes,No,,,,
SHANDONG RUZHI BIOMEDICAL TECHNOLOGY CO LTD,[Not Available],"Shandong, China",A biotechnology company focused on the research and development of biomedical technologies for therapeutic applications.,[Not Available],Biotechnology/Biomedicine,No,Yes,Yes,No,,,,
SHANDONG SHENG DI INFORMATION TECHNOLOGY CO LTD,[Not Available],"Shandong, China","A company specializing in information technology solutions, with a focus on innovation in the digital and technology sectors.",[Not Available],Information Technology,No,Yes,No,No,,,,
SHANDONG SHENGAO MEDICAL TECHNOLOGY CO LTD,[Not Available],"Shandong, China","A company involved in the development and production of medical technology products, particularly in the healthcare sector.",[Not Available],Medical Technology/Healthcare,No,Yes,Yes,No,,,,
SHANDONG SHIDASI BIOLOGICAL INDUSTRY CO LTD,[Not Available],"Shandong, China","A biotechnology company focused on the research, development, and production of biological products for various industries, including healthcare and agriculture.",[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANDONG SHIDASI MEDICAL TECHNOLOGY CO LTD,[Not Available],"Shandong, China","A medical technology company involved in the research, development, and production of medical devices and technologies for the healthcare industry.",[Not Available],Medical Technology,No,Yes,Yes,No,,,,
SHANDONG SHIYA ASSEMBLY BUILDING ENGINEERING CO LTD,[Not Available],"Shandong, China","A company specializing in assembly and construction engineering, focusing on building infrastructure and modular construction projects.",[Not Available],Construction/Engineering,No,Yes,No,No,,,,
SHANDONG SHOUGUANG TESTING GROUP CO LTD,[Not Available],"Shandong, China","A company providing testing and inspection services, particularly in the fields of quality control and product certification.",[Not Available],Testing/Quality Control,No,Yes,No,No,,,,
SHANDONG SHUNFENG BIOTECHNOLOGY CO LTD,[Not Available],"Shandong, China","A biotechnology company focused on the development and production of biotechnological products for healthcare, agriculture, and other industries.",[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANDONG SIMCERE BIOPHARMACEUTICAL CO LTD,[Not Available],"Shandong, China","A biopharmaceutical company involved in the research, development, and manufacturing of innovative drugs and biopharmaceutical products.",[Not Available],Biopharmaceuticals,No,Yes,Yes,No,,,,
SHANDONG SIMSEA BIOPHARM CO LTD,[Not Available],"Shandong, China","A biopharmaceutical company dedicated to the research, development, and production of innovative biopharmaceutical products for various therapeutic areas.",[Not Available],Biopharmaceuticals,No,Yes,Yes,No,,,,
SHANDONG TAIYOU PHARMACEUTICAL CO LTD,[Not Available],"Shandong, China","A pharmaceutical company engaged in the research, development, and production of a wide range of pharmaceutical products for healthcare applications.",[Not Available],Pharmaceuticals,No,Yes,Yes,No,,,,
SHANDONG TEFAMAN PHARMACEUTICAL CO LTD,[Not Available],"Shandong, China","A pharmaceutical company focused on the development and manufacturing of pharmaceutical products, including innovative therapies and generic medicines.",[Not Available],Pharmaceuticals,No,Yes,Yes,No,,,,
SHANDONG WANCHEN POLICE EQUIPMENT CO LTD,[Not Available],"Shandong, China","A company specializing in the development and production of police and security equipment, providing solutions for law enforcement and security industries.",[Not Available],Security Equipment,No,Yes,No,No,,,,
SHANDONG WEIGAO LITONG BIOLOGICAL PRODUCTS CO LTD,[Not Available],"Shandong, China","A biotechnology company involved in the research, development, and production of biological products, particularly for medical and healthcare applications.",[Not Available],Biotechnology/Medical Products,No,Yes,Yes,No,,,,
SHANDONG XIANPU AIRUI TECHNOLOGY CO LTD,[Not Available],"Shandong, China","A technology company specializing in innovative solutions, particularly in the fields of air purification and environmental protection.",[Not Available],Technology/Environmental,No,Yes,Yes,No,,,,
SHANDONG XINNUO BIOLOGY ENGINEERING CO LTD,[Not Available],"Shandong, China","A biotechnology company focused on the development and application of biological engineering technologies, particularly for healthcare and agricultural sectors.",[Not Available],Biotechnology/Biological Engineering,No,Yes,Yes,No,,,,
SHANDONG XINSHIDAI PHARMACEUTICAL CO LTD,[Not Available],"Shandong, China","A pharmaceutical company engaged in the research, development, and manufacturing of pharmaceutical products, with a focus on innovative therapies.",[Not Available],Pharmaceuticals,No,Yes,Yes,No,,,,
SHANDONG YINGSHENG BIOLOGY TECHNOLOGY CO LTD,[Not Available],"Shandong, China","A biotechnology company specializing in the research and development of biological technologies for various applications, including healthcare and agriculture.",[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANDONG YUNDA MEDICAL EQUIPMENT TECHNOLOGY CO LTD,[Not Available],"Shandong, China","A company focused on the development, production, and distribution of medical equipment and technologies, aiming to provide innovative healthcare solutions.",[Not Available],Medical Equipment,No,Yes,Yes,No,,,,
SHANDONG ZHENGTAI XIER SPECIAL PURPOSE VEHICLES CO LTD,[Not Available],"Shandong, China","A company that designs and manufactures special purpose vehicles, particularly for industrial and emergency services.",[Not Available],Automotive/Special Purpose Vehicles,No,Yes,No,No,,,,
SHANDONG ZHONGTAIDA TECHNOLOGY INCUBATION CO LTD,[Not Available],"Shandong, China","A company that provides technology incubation services, supporting startups and innovation-driven enterprises in their early stages of development.",[Not Available],Technology Incubation,No,Yes,Yes,No,,,,
SHANGHAI PECHOIN BIOTECH CO LTD,[Not Available],"Shanghai, China","A biotechnology company affiliated with Pechoin, focusing on the research, development, and production of skincare and cosmetic products using advanced biotechnologies.",[Not Available],Biotechnology/Cosmetics,No,Yes,Yes,No,,,,
SHANGCHENG BEINA CHUANGLIAN BIOTECHNOLOGY CO LTD,[Not Available],[Not Available],"A biotechnology company specializing in innovative biotechnologies for various sectors, including healthcare, agriculture, and environmental protection.",[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI 3D BIOMEDICINE SCIENCE & TECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A biomedical technology company focusing on the research and development of 3D bioprinting technologies and their applications in medicine.,[Not Available],Biomedical Technology/3D Bioprinting,No,Yes,Yes,No,,,,
SHANGHAI 4BASE GENOMICS TECHNOLOGY CO LTD,[Not Available],"Shanghai, China","A genomics technology company focused on developing innovative solutions for genetic research, diagnostics, and personalized medicine.",[Not Available],Genomics/Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI ABBISKO THERAPEUTICS CO LTD,[Not Available],"Shanghai, China",A biopharmaceutical company specializing in the discovery and development of targeted therapies for cancer and other serious diseases.,[Not Available],Biopharmaceuticals,No,Yes,Yes,No,,,,
"SHANGHAI ADVANCED RESEARCH INSTITUTE, CHINESE ACADEMY OF SCIENCES",[Not Available],"Shanghai, China","A leading research institute under the Chinese Academy of Sciences, conducting advanced research in various fields of science and technology.",[Not Available],Research Institute,Yes,No,Yes,No,,,,
SHANGHAI ACADEMY OF AGRICULTURAL SCIENCES,[Not Available],"Shanghai, China","A research institute focused on agricultural sciences, conducting research in areas such as crop science, horticulture, and agricultural engineering.",[Not Available],Agricultural Research,Yes,No,Yes,No,,,,
SHANGHAI AIQI MEDICAL TECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A medical technology company developing and manufacturing innovative medical devices and technologies for healthcare applications.,[Not Available],Medical Technology,No,Yes,Yes,No,,,,
SHANGHAI BAIO TECHNOLOGY CO LTD,[Not Available],"Shanghai, China","A biotechnology company involved in the research, development, and production of biotechnological products for various industries.",[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI BANGXIAN MEDICAL TECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A medical technology company focused on developing and manufacturing medical devices and diagnostic tools for the healthcare industry.,[Not Available],Medical Technology,No,Yes,Yes,No,,,,
SHANGHAI BAO PHARMACEUTICAL CO LTD,[Not Available],"Shanghai, China","A pharmaceutical company specializing in the research, development, and production of pharmaceutical products, including innovative therapies and generics.",[Not Available],Pharmaceuticals,No,Yes,Yes,No,,,,
SHANGHAI BAOJI PHARMACEUTICAL CO LTD,[Not Available],"Shanghai, China",A pharmaceutical company focused on the development and manufacturing of pharmaceutical products for various therapeutic areas.,[Not Available],Pharmaceuticals,No,Yes,Yes,No,,,,
SHANGHAI BAOTENG BIO-PHARMACEUTICAL TECHNOLOGY CO LTD,[Not Available],"Shanghai, China","A biopharmaceutical company engaged in the research, development, and production of innovative biopharmaceutical products.",[Not Available],Biopharmaceuticals,No,Yes,Yes,No,,,,
SHANGHAI BAOTENG MEDICAL INSPECTION CO LTD,[Not Available],"Shanghai, China","A company specializing in medical inspection and diagnostic services, providing advanced testing and analysis for healthcare purposes.",[Not Available],Medical Inspection/Diagnostics,No,Yes,Yes,No,,,,
SHANGHAI BEAUTIFUL LIFE MEDICAL TECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A medical technology company focused on developing products and solutions aimed at enhancing the quality of life and health of individuals.,[Not Available],Medical Technology/Healthcare,No,Yes,Yes,No,,,,
SHANGHAI BEIJIN BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China","A biotechnology company focused on research and development in the fields of biotechnology and pharmaceuticals, providing innovative solutions for healthcare.",[Not Available],Biotechnology/Pharmaceuticals,No,Yes,Yes,No,,,,
SHANGHAI BELIEF-DELIVERY BIOMED CO LTD,[Not Available],"Shanghai, China","A biopharmaceutical company that specializes in the development and delivery of innovative biomedical products, focusing on advanced drug delivery systems.",[Not Available],Biopharmaceuticals/Drug Delivery,No,Yes,Yes,No,,,,
SHANGHAI BIOCHIP CO LTD,[Not Available],"Shanghai, China","A leading company in the field of biochips and microarrays, offering advanced solutions for genetic testing, diagnostics, and research applications.",[Not Available],Biotechnology/Biochips,No,Yes,Yes,No,,,,
SHANGHAI BIOGERM MEDICAL TECHNOLOGY CO LTD,[Not Available],"Shanghai, China","A medical technology company that focuses on the development of diagnostic reagents and equipment, particularly for infectious diseases and microbiology.",[Not Available],Medical Technology/Diagnostics,No,Yes,Yes,No,,,,
SHANGHAI BIOINTRON BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China","A biotechnology company specializing in molecular biology products and services, including gene synthesis, cloning, and related biotechnologies.",[Not Available],Biotechnology/Molecular Biology,No,Yes,Yes,No,,,,
"SHANGHAI BIOLOGICAL PRODUCTS INSTITUTE, MINISTRY OF HEALTH",[Not Available],"Shanghai, China","A government research institute under the Ministry of Health, focusing on the development and production of vaccines and other biological products.",[Not Available],Biotechnology/Biological Products,Yes,No,Yes,No,,,,
SHANGHAI BIOMEDICAL & PHARMACEUTICAL TECHNOLOGIES CO LTD,[Not Available],"Shanghai, China","A company engaged in the research, development, and commercialization of biomedical and pharmaceutical technologies, focusing on innovative therapies.",[Not Available],Biopharmaceuticals/Biomedical Technologies,No,Yes,Yes,No,,,,
SHANGHAI BIOMEDICAL LAB CO LTD,[Not Available],"Shanghai, China","A biomedical laboratory company providing a wide range of laboratory services, including diagnostic testing, research support, and clinical trials.",[Not Available],Biomedical Laboratory Services,No,Yes,Yes,No,,,,
SHANGHAI BIOMISSILE BIOTECH CO LTD,[Not Available],"Shanghai, China","A biotechnology company focused on the research, development, and commercialization of advanced biotechnological solutions, particularly in drug delivery and therapeutic development.",[Not Available],Biotechnology/Drug Delivery,No,Yes,Yes,No,,,,
SHANGHAI BIONAIRE BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China","A biotechnology company specializing in the development of innovative biotechnological products and services, focusing on health and environmental applications.",[Not Available],Biotechnology/Environmental Health,No,Yes,Yes,No,,,,
SHANGHAI BIYING MEDICAL TECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A medical technology company dedicated to the development and manufacturing of medical devices and diagnostic tools aimed at improving healthcare outcomes.,[Not Available],Medical Technology/Diagnostics,No,Yes,Yes,No,,,,
SHANGHAI BOJIE MEDICAL TECHNOLOGY CO LTD,[Not Available],"Shanghai, China","A company engaged in the development and production of medical technologies and equipment, with a focus on innovative solutions for healthcare providers.",[Not Available],Medical Technology,No,Yes,Yes,No,,,,
SHANGHAI BOJIN MEDICAL INSTRUMENT CO LTD,[Not Available],"Shanghai, China","A company that specializes in the design, development, and manufacturing of medical instruments and devices used in various medical fields.",[Not Available],Medical Instruments/Devices,No,Yes,Yes,No,,,,
SHANGHAI BOMAN BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China","A biotechnology company focused on the research, development, and production of biotechnological products for healthcare, agriculture, and industrial applications.",[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI BOVAX BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A biotechnology company that develops and manufactures vaccines and other biopharmaceutical products for both human and veterinary use.,[Not Available],Biotechnology/Biopharmaceuticals,No,Yes,Yes,No,,,,
SHANGHAI BOWEI BIOLOGICAL TECHNOLOGY CO LTD,[Not Available],"Shanghai, China","A biotechnology company specializing in the development of biological products, including diagnostic reagents and therapeutic biologics.",[Not Available],Biotechnology/Biologics,No,Yes,Yes,No,,,,
SHANGHAI BOYU NEW MATERIAL TECHNOLOGY CO LTD,[Not Available],"Shanghai, China","A company focused on the development and production of new materials for various industrial applications, including healthcare and biotechnology sectors.",[Not Available],New Materials/Industrial Technology,No,Yes,Yes,No,,,,
SHANGHAI CAERULUM PHARMA DISCOVERY CO LTD,[Not Available],"Shanghai, China","A pharmaceutical discovery company focused on the research and development of novel drug candidates for various therapeutic areas, including oncology and infectious diseases.",[Not Available],Pharmaceuticals/Drug Discovery,No,Yes,Yes,No,,,,
SHANGHAI CLIVIA NEW MATERIAL CO LTD,[Not Available],"Shanghai, China","A company specializing in the development and production of innovative materials for various industrial applications, including healthcare, electronics, and construction.",[Not Available],New Materials/Industrial Technology,No,Yes,Yes,No,,,,
SHANGHAI CUREGENE PHARM CO LTD,[Not Available],"Shanghai, China","A pharmaceutical company focused on the research, development, and commercialization of gene-based therapies and innovative pharmaceutical products.",[Not Available],Pharmaceuticals/Gene Therapy,No,Yes,Yes,No,,,,
SHANGHAI DANLI BIO-TECHNOLOGY CO LTD,[Not Available],"Shanghai, China","A biotechnology company engaged in the development of biological products and technologies, including diagnostic tools and therapeutic solutions for healthcare.",[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI DERMATOLOGY HOSPITAL,[Not Available],"Shanghai, China","A specialized hospital dedicated to dermatology, offering a wide range of medical services for the diagnosis, treatment, and prevention of skin diseases.",[Not Available],Healthcare/Dermatology,Yes,No,No,Yes,,,,
SHANGHAI DESANO BIOMEDICINE CO LTD,[Not Available],"Shanghai, China","A biomedicine company focused on the research, development, and production of pharmaceutical products, particularly in the fields of oncology, virology, and cardiovascular diseases.",[Not Available],Biomedicine/Pharmaceuticals,No,Yes,Yes,No,,,,
SHANGHAI DG DIAGNOLOGY TEC CO LTD,[Not Available],"Shanghai, China","A company specializing in diagnostic technologies, providing advanced diagnostic tools and services for healthcare providers and research institutions.",[Not Available],Diagnostics/Medical Technology,No,Yes,Yes,No,,,,
SHANGHAI DIANYUMIAN INTELLIGENT TECHNOLOGY CO LTD,[Not Available],"Shanghai, China","A technology company focused on the development of intelligent systems and devices, with applications in various industries including healthcare and industrial automation.",[Not Available],Intelligent Technology/Automation,No,Yes,Yes,No,,,,
SHANGHAI DIAORIGIN BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China","A biotechnology company specializing in the development of diagnostic reagents and technologies, particularly for infectious diseases and other critical health conditions.",[Not Available],Biotechnology/Diagnostics,No,Yes,Yes,No,,,,
SHANGHAI DINFECTOME TESTING LAB CO LTD,[Not Available],"Shanghai, China","A laboratory specializing in testing and validation of disinfectants and other hygiene products, ensuring compliance with health and safety standards.",[Not Available],Testing Laboratory/Hygiene Products,No,Yes,Yes,No,,,,
SHANGHAI DISHI BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China","A biotechnology company engaged in the development and production of biotechnological products, including therapeutic biologics and diagnostic reagents.",[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANGHAI DRUG FARM BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China",A biotechnology company focused on the development and production of pharmaceutical ingredients and therapeutic products for various medical applications.,[Not Available],Biotechnology/Pharmaceuticals,No,Yes,Yes,No,,,,
