Company Name,Website,Location,About,Founded Year,Industry,Is Government Institute,Is a private company,Is a research institution,"Is a medical center (e.g., hospital or clinic)"
IMCHECK THERAPEUTICS,https://www.imchecktherapeutics.com/,"Marseille, France",ImCheck Therapeutics is a clinical-stage biotechnology company developing novel immune-modulating antibodies to treat cancer and autoimmune diseases.,2015,Biotechnology / Immunotherapy,No,Yes,Yes,No
IMEC VZW,https://www.imec-int.com/,"Leuven, Belgium","Imec is a world-leading research and innovation hub in nanoelectronics and digital technologies, conducting research in fields like health, energy, and electronics.",1984,Research / Nanoelectronics,No,No,Yes,No
IMEDICALS SRL,[Not Available],[Not Available],iMedicals SRL is a medical technology company focused on developing advanced digital health solutions and devices to improve patient care and clinical outcomes.,[Not Available],Medical Technology / Digital Health,No,Yes,No,No
IMEL BIOTHERAPEUTICS INC,[Not Available],[Not Available],IMEL Biotherapeutics Inc. is a biotechnology company focused on developing innovative biologics for the treatment of cancer and autoimmune diseases.,[Not Available],Biotechnology,No,Yes,Yes,No
IMGEN LLC,[Not Available],[Not Available],IMGEN LLC is a biotechnology company engaged in the research and development of genetic therapies and diagnostic solutions for various medical conditions.,[Not Available],Biotechnology / Genetic Therapy,No,Yes,Yes,No
IMMATICS BIOTECHNOLOGIES GMBH,https://immatics.com/,"TÃ¼bingen, Germany",Immatics Biotechnologies GmbH is a clinical-stage biopharmaceutical company focused on developing T-cell receptor-based immunotherapies for the treatment of cancer.,2000,Biopharmaceuticals / Immunotherapy,No,Yes,Yes,No
IMMED THERAPEUTICS CO LTD,[Not Available],[Not Available],"IMMED Therapeutics is a biotechnology company focused on developing novel therapies for the treatment of infectious diseases, including antiviral and antimicrobial treatments.",[Not Available],Biotechnology / Therapeutics,No,Yes,Yes,No
IMMODULON THERAPEUTICS LTD,https://www.immodulon.com/,"London, United Kingdom","Immodulon Therapeutics Ltd is a clinical-stage biotechnology company developing immune-modulating therapies, particularly focusing on cancer immunotherapy.",2007,Biotechnology / Immunotherapy,No,Yes,Yes,No
IMMORNA HANGZHOU BIOTECHNOLOGY CO LTD,[Not Available],"Hangzhou, China","Immorna Biotechnology Co., Ltd. is a biotechnology company that specializes in the development of mRNA-based therapeutics and vaccines for various infectious diseases and cancers.",[Not Available],Biotechnology / mRNA Technology,No,Yes,Yes,No
IMMUGEN PHARMA LLC,[Not Available],[Not Available],Immugen Pharma LLC is a biopharmaceutical company focused on the discovery and development of novel therapies to modulate the immune system for the treatment of autoimmune diseases and cancer.,[Not Available],Biopharmaceuticals / Immunotherapy,No,Yes,Yes,No
IMMUNACOR LLC,[Not Available],[Not Available],Immunacor LLC is a biotechnology company specializing in the development of therapeutic antibodies and immune-modulating treatments for infectious diseases and cancer.,[Not Available],Biotechnology / Immunotherapy,No,Yes,Yes,No
IMMUNE BIOSOLUTIONS INC,https://www.immunebiosolutions.com/,"Sherbrooke, Quebec, Canada","Immune Biosolutions is a biotechnology company focused on the discovery and development of next-generation antibodies for use in diagnostic and therapeutic applications, particularly in infectious diseases and cancer.",2012,Biotechnology / Antibody Development,No,Yes,Yes,No
IMMUNESURE LLC,[Not Available],[Not Available],ImmuneSure LLC is a biotechnology company engaged in the development of immune diagnostics and therapeutic solutions to enhance immune system performance in combating infectious diseases.,[Not Available],Biotechnology / Immunotherapy,No,Yes,Yes,No
IMMUNETHEP SA,https://www.immunethep.com/,"Cantanhede, Portugal","Immunethep SA is a biotechnology company developing novel immunotherapies and vaccines to treat bacterial infections, focusing on targeting and neutralizing bacterial immune evasion mechanisms.",2014,Biotechnology / Immunotherapy,No,Yes,Yes,No
IMMUNIC AG,https://www.immunic-therapeutics.com/,"Planegg-Martinsried, Germany","Immunic AG is a clinical-stage biopharmaceutical company focused on developing orally available, small molecule therapies for chronic inflammatory and autoimmune diseases.",2016,Biopharmaceuticals / Immunotherapy,No,Yes,Yes,No
IMMUNITOR THAILAND CO LTD,http://immunitor.com/,"Bangkok, Thailand","Immunitor Thailand Co. Ltd. is a biotechnology company specializing in the development of oral vaccines and immunotherapies, with a focus on infectious diseases such as tuberculosis and HIV.",1998,Biotechnology / Vaccines,No,Yes,Yes,No
IMMUNITY BIO INC,https://www.immunitybio.com/,"Culver City, California, United States","ImmunityBio, Inc. is a clinical-stage biotechnology company developing next-generation immunotherapies and cell therapies to treat cancer and infectious diseases.",2014,Biotechnology / Immunotherapy,No,Yes,Yes,No
IMMUNO MAX CO LTD,[Not Available],[Not Available],Immuno Max Co. Ltd. is a biotechnology company engaged in the development of immunomodulatory products and therapies to enhance immune system function for various health conditions.,[Not Available],Biotechnology / Immunomodulation,No,Yes,Yes,No
IMMUNOFLEX THERAPEUTICS INC,[Not Available],[Not Available],Immunoflex Therapeutics Inc. is a biotechnology company focused on developing flexible and innovative immunotherapies for cancer and autoimmune diseases.,[Not Available],Biotechnology / Immunotherapy,No,Yes,Yes,No
IMMUNOGENES KFT,[Not Available],[Not Available],"ImmunoGenes Kft is a biotechnology company that specializes in the development of novel antibody technologies and immune system research, particularly focusing on enhancing the immune response for therapeutic purposes.",[Not Available],Biotechnology / Immunotherapy,No,Yes,Yes,No
IMMUNOLOGIK GMBH,[Not Available],[Not Available],ImmunoLogik GmbH is a German biotechnology company focused on developing antiviral therapies and immune-modulating drugs to combat viral infections and associated diseases.,[Not Available],Biotechnology / Antiviral Therapy,No,Yes,Yes,No
IMMUNOLOGY DIAGNOSTICS LLC,[Not Available],[Not Available],Immunology Diagnostics LLC is a healthcare company that develops and provides diagnostic tools and services focused on immunological disorders and infectious diseases.,[Not Available],Healthcare / Diagnostics,No,Yes,No,No
IMMUNOLOGY INST STATE SCI CENT,[Not Available],[Not Available],"Immunology Institute State Science Center is a government-affiliated research institution dedicated to studying the immune system, developing vaccines, and advancing immunological research.",[Not Available],Research / Immunology,Yes,No,Yes,No
IMMUNOLUX INT CORP,[Not Available],[Not Available],ImmunoLux International Corp. is a biotechnology company focusing on the development of immune-enhancing products and therapies aimed at treating various chronic diseases and conditions.,[Not Available],Biotechnology / Immunotherapy,No,Yes,Yes,No
IMMUNOME INC,https://immunome.com/,"Exton, Pennsylvania, United States",Immunome Inc. is a biotechnology company that leverages its proprietary discovery engine to develop first-in-class antibody therapeutics for cancer and infectious diseases.,2008,Biotechnology / Antibody Therapeutics,No,Yes,Yes,No
IMMUNOMIC THERAPEUTICS INC,https://www.immunomix.com/,"Rockville, Maryland, United States","Immunomic Therapeutics Inc. is a clinical-stage biotechnology company developing nucleic acid immunotherapy platforms, focusing on cancer immunotherapy and infectious diseases.",2006,Biotechnology / Immunotherapy,No,Yes,Yes,No
IMMUNOPHOTONICS INC,https://immunophotonics.com/,"St. Louis, Missouri, United States",Immunophotonics Inc. is a biotechnology company developing novel immuno-oncology therapies aimed at triggering systemic anti-tumor immune responses to treat cancer.,2010,Biotechnology / Immuno-Oncology,No,Yes,Yes,No
IMMUNOTEX RES & PRODN ASSOC LLC,[Not Available],[Not Available],"ImmunoTex Research & Production Association LLC is involved in the research, development, and production of immunological products and therapies, focusing on enhancing the immune system's response to diseases.",[Not Available],Biotechnology / Immunotherapy,No,Yes,Yes,No
IMMUNOVA THERAPEUTICS LTD,[Not Available],[Not Available],Immunova Therapeutics Ltd is a biotechnology company focused on developing advanced immunotherapies and vaccines for the treatment of infectious diseases and cancer.,[Not Available],Biotechnology / Immunotherapy,No,Yes,Yes,No
IMMUNOVACCINE TECHNOLOGIES INC,https://www.imv-inc.com/,"Dartmouth, Nova Scotia, Canada","ImmunoVaccine Technologies Inc., now known as IMV Inc., is a clinical-stage biopharmaceutical company developing immunotherapies, including cancer vaccines and infectious disease vaccines, using its proprietary DPX platform.",2000,Biopharmaceuticals / Immunotherapy,No,Yes,Yes,No
IMMUNRISE SAS,[Not Available],[Not Available],"Immunrise SAS is a biotechnology company that focuses on developing immunotherapy solutions for treating infectious diseases and cancer, leveraging immune system modulation.",[Not Available],Biotechnology / Immunotherapy,No,Yes,Yes,No
IMMUPHARMA FRANCE SA,https://www.immupharma.com/,"Paris, France","ImmuPharma France SA is a specialty pharmaceutical company focused on the development of innovative medicines in the field of autoimmune diseases, cancer, and inflammation, with a strong emphasis on Lupuzor, a lupus treatment.",1999,Pharmaceuticals / Biotechnology,No,Yes,Yes,No
IMMURON LTD,https://www.immuron.com.au/,"Melbourne, Australia","Immuron Ltd is a biopharmaceutical company that specializes in the development and commercialization of orally delivered targeted polyclonal antibodies for the treatment of infectious diseases, including travelerâs diarrhea and C. difficile infections.",1994,Biopharmaceuticals / Immunotherapy,No,Yes,Yes,No
IMMUTRIX THERAPEUTICS INC,[Not Available],[Not Available],"Immutrix Therapeutics Inc. is a biotechnology company focused on developing advanced therapies for immune system modulation, particularly targeting inflammatory and autoimmune diseases.",[Not Available],Biotechnology / Immunotherapy,No,Yes,Yes,No
IMMVENTION THERAPEUTIX,[Not Available],[Not Available],"Immvention Therapeutix is a biotechnology company engaged in the discovery and development of novel therapies for autoimmune and inflammatory diseases, with a focus on targeting innate immune pathways.",[Not Available],Biotechnology / Immunotherapy,No,Yes,Yes,No
IMMVIRA BIOPHARM CO LTD,https://www.immvira.com/,"Shenzhen, China",ImmVira Biopharm Co. Ltd. is a biotechnology company that specializes in the development of oncolytic viruses and other immuno-oncology therapies aimed at treating various types of cancer.,2015,Biotechnology / Immuno-Oncology,No,Yes,Yes,No
IMOPHORON LTD,https://www.imophoron.com/,"Bristol, United Kingdom","Imophoron Ltd is a biotechnology company that focuses on developing next-generation vaccines using its proprietary ADDomer platform, designed to rapidly produce and scale vaccine candidates for infectious diseases.",2017,Biotechnology / Vaccines,No,Yes,Yes,No
IMPACT BIOLIFE SCI INC,[Not Available],[Not Available],"Impact Biolife Sciences Inc. is a biotechnology company focused on developing innovative therapies and technologies aimed at treating severe and chronic diseases, including cancer and autoimmune disorders.",[Not Available],Biotechnology,No,Yes,Yes,No
IMPACT NATURALS INC,https://impactnaturals.com/,"Stamford, Connecticut, United States","Impact Naturals Inc. is a health and wellness company that develops and markets cannabinoid-based supplements, using its proprietary formulas to enhance bioavailability and efficacy for health and wellness applications.",2020,Health & Wellness / Nutraceuticals,No,Yes,No,No
IMPACTFUL HEALTH RES & DEV INC,[Not Available],[Not Available],"Impactful Health Research & Development Inc. is a biotechnology company focused on developing innovative solutions and therapies for health challenges, particularly in the areas of disease prevention and management.",[Not Available],Biotechnology,No,Yes,Yes,No
IMPERIAL INNOVATIONS LTD,[Not Available],"London, United Kingdom","Imperial Innovations Ltd is a technology commercialization company affiliated with Imperial College London, specializing in investing in and developing technologies and innovations from academic research, particularly in healthcare, engineering, and the physical sciences.",1986,Technology Transfer / Investment,No,Yes,Yes,No
IMPLICIT BIOSCI LTD,[Not Available],[Not Available],Implicit Bioscience Ltd is a biotechnology company that focuses on the discovery and development of immune-based therapies for the treatment of infectious diseases and inflammatory conditions.,[Not Available],Biotechnology / Immunotherapy,No,Yes,Yes,No
IMPULSE LIFE LLC,[Not Available],[Not Available],"Impulse Life LLC is a health and wellness company that develops and markets health supplements and products aimed at improving physical and mental well-being, with a focus on natural and scientifically-backed ingredients.",[Not Available],Health & Wellness,No,Yes,No,No
IMUNEKS FARMA ILAC SANAYI & TICARET AS,[Not Available],"Istanbul, Turkey","Imuneks Farma Ilac Sanayi & Ticaret A.S. is a pharmaceutical company specializing in the development and manufacturing of immune system-enhancing drugs and vaccines, particularly for the treatment of infectious diseases.",[Not Available],Pharmaceuticals / Biotechnology,No,Yes,Yes,No
IMUNON INC,https://imunon.com/,"Lawrenceville, New Jersey, United States","Imunon Inc., formerly known as Celsion Corporation, is a clinical-stage biotechnology company focused on developing innovative therapies for the treatment of cancer and other serious diseases using its proprietary nucleic acid-based delivery platform.",[Not Available],Biotechnology / Gene Therapy,No,Yes,Yes,No
IMUNOSCAN ENGENHARIA MOLECULAR LTD,[Not Available],[Not Available],"Imunoscan Engenharia Molecular Ltd is a biotechnology company focused on the development of molecular diagnostics and therapeutic solutions for infectious diseases, leveraging advanced immunological techniques.",[Not Available],Biotechnology / Molecular Diagnostics,No,Yes,Yes,No
IMUNOTERA SOLUCOES TERAPEUTICAS LTDA,[Not Available],[Not Available],Imunotera SoluÃ§Ãµes TerapÃªuticas Ltda is a biotechnology company that specializes in developing therapeutic solutions aimed at modulating the immune system to treat chronic diseases and infections.,[Not Available],Biotechnology / Immunotherapy,No,Yes,Yes,No
IMUNOVA ANALISES BIOLOGICAS LTDA-ME,[Not Available],[Not Available],"Imunova AnÃ¡lises BiolÃ³gicas Ltda-ME is a laboratory company that provides specialized biological analyses and diagnostic services, focusing on immunological and infectious disease testing.",[Not Available],Healthcare / Diagnostics,No,Yes,No,No
IN SILICO DISCOVERY RES ACADEMIC SERVICES INDRAS PRIVATE LTD,[Not Available],[Not Available],"In Silico Discovery Research Academic Services Indras Private Ltd is a research and development company that provides computational biology and bioinformatics services for drug discovery and development, focusing on in silico methodologies.",[Not Available],Biotechnology / Computational Biology,No,Yes,Yes,No
IN2CURE AB,[Not Available],"Lund, Sweden","In2cure AB is a biotechnology company focused on developing innovative treatments for inflammatory diseases and infections, using its proprietary technologies to target and modulate the immune response.",2013,Biotechnology / Inflammatory Diseases,No,Yes,Yes,No
INAF IST NAZ DI ASTROFISICA,https://www.inaf.it/,"Rome, Italy","INAF (Istituto Nazionale di Astrofisica) is Italy's national institute for astrophysics, dedicated to astronomical research and the development of technologies for space exploration and related fields.",1999,Research / Astrophysics,Yes,No,Yes,No
INAZUMA DENKI KOJI KK,[Not Available],"Tokyo, Japan","Inazuma Denki Koji KK is an electrical engineering company that specializes in providing industrial electrical installations and maintenance services, with a focus on innovative and efficient electrical solutions.",[Not Available],Electrical Engineering,No,Yes,No,No
INBIOME BV,[Not Available],"Amsterdam, Netherlands","InBiome BV is a biotechnology company that develops advanced molecular diagnostic tools for detecting and analyzing microbiomes in various environments, including clinical and environmental settings.",[Not Available],Biotechnology / Molecular Diagnostics,No,Yes,Yes,No
INBIOS INT INC,https://inbios.com/,"Seattle, Washington, United States","InBios International Inc. is a biotechnology company that designs, develops, and manufactures diagnostic assays for infectious diseases, including rapid tests and ELISA kits for use in both clinical and research settings.",1996,Biotechnology / Diagnostics,No,Yes,Yes,No
INCELLDX INC,https://www.incelldx.com/,"San Carlos, California, United States","IncellDx Inc. is a biotechnology company specializing in molecular diagnostics and prognostics, with a focus on single-cell detection and quantification of intracellular biomarkers for cancer and infectious diseases.",2009,Biotechnology / Molecular Diagnostics,No,Yes,Yes,No
INCONTACT INC,[Not Available],[Not Available],"InContact Inc. is a provider of cloud-based contact center software solutions, offering tools and services to enhance customer experience management, improve agent efficiency, and streamline communication processes.",1997,Information Technology / Customer Service Software,No,Yes,No,No
INCREASE INNOVATIVE MEDICINE RES,[Not Available],[Not Available],"Increase Innovative Medicine Research is a biotechnology company that focuses on the development of novel therapeutics and medical technologies, particularly in the areas of drug discovery and regenerative medicine.",[Not Available],Biotechnology / Drug Discovery,No,Yes,Yes,No
IND & COMML BANK CHINA LTD,https://www.icbc.com.cn/,"Beijing, China","Industrial and Commercial Bank of China Ltd (ICBC) is one of the largest commercial banks in the world, providing a wide range of financial services including corporate banking, personal banking, and investment services.",1984,Banking / Financial Services,Yes,No,No,No
IND ACADEMIC COOP FOUND,[Not Available],[Not Available],"Industrial-Academic Cooperation Foundation (IACF) is an organization dedicated to fostering collaboration between industry and academia, facilitating research, technology transfer, and the commercialization of innovations.",[Not Available],Research / Technology Transfer,No,No,Yes,No
IND INNOVATION CENT,[Not Available],[Not Available],"IND Innovation Center is a research and development organization focused on fostering innovation and technological advancements in various industrial sectors, providing resources and support for startups and established companies.",[Not Available],Research & Development / Innovation,No,Yes,Yes,No
IND POLYMERS & CHEM INC,[Not Available],[Not Available],"IND Polymers & Chemical Inc. is a manufacturing company specializing in the production of high-performance polymers and chemical products used in various industrial applications, including automotive, construction, and electronics.",[Not Available],Chemicals / Polymers,No,Yes,No,No
IND TECHNOLOGY RES INST,https://www.itri.org.tw/,"Hsinchu, Taiwan","The Industrial Technology Research Institute (ITRI) is a leading research and development organization in Taiwan, focusing on applied research and technological innovation in industries such as electronics, biotechnology, and energy.",1973,Research & Development / Technology,Yes,No,Yes,No
INDEVR INC,https://www.indevr.com/,"Boulder, Colorado, United States","InDevR Inc. is a biotechnology company that develops advanced analytical tools and technologies for the life sciences industry, focusing on diagnostics, vaccines, and biologicals for the detection and characterization of pathogens.",2003,Biotechnology / Diagnostics,No,Yes,Yes,No
INDEX BIOSYSTEMS INC,[Not Available],[Not Available],Index Biosystems Inc. is a biotechnology company focused on the development of biosensor technologies and diagnostic tools for the rapid detection of pathogens and other biological agents in clinical and environmental settings.,[Not Available],Biotechnology / Biosensors,No,Yes,Yes,No
INDIAN ASSOC CULTIVATION SCI,http://www.iacs.res.in/,"Kolkata, India","The Indian Association for the Cultivation of Science (IACS) is an autonomous research institution dedicated to the advancement of scientific research in India, with a focus on basic sciences such as physics, chemistry, and biology.",1876,Research / Basic Sciences,Yes,No,Yes,No
INDIAN COUNCIL AGRIC RES,https://icar.org.in/,"New Delhi, India","The Indian Council of Agricultural Research (ICAR) is an apex body for coordinating, guiding, and managing research and education in agriculture in India, playing a key role in the development of new agricultural technologies and practices.",1929,Research / Agriculture,Yes,No,Yes,No
INDIAN COUNCIL MEDICAL RES,https://www.icmr.gov.in/,"New Delhi, India","The Indian Council of Medical Research (ICMR) is India's apex body for the formulation, coordination, and promotion of biomedical research, working towards the advancement of health through research on diseases of national importance.",1911,Research / Medical,Yes,No,Yes,No
INDIAN IMMUNOLOGICALS LTD,https://www.indimmune.com/,"Hyderabad, India","Indian Immunologicals Ltd is a leading biotechnology company in India, known for its production of vaccines for human and animal health, with a focus on affordable and accessible immunization solutions.",1982,Biotechnology / Vaccines,No,Yes,Yes,No
INDIAN MEDICAL RES COUNCIL NEW DELHI,[Not Available],"New Delhi, India","Indian Medical Research Council New Delhi, likely referring to the Indian Council of Medical Research (ICMR), is the premier organization in India for the promotion and coordination of biomedical research, addressing public health issues through innovative research.",[Not Available],Research / Medical,Yes,No,Yes,No
INDIAN OIL CORP LTD,https://www.iocl.com/,"New Delhi, India","Indian Oil Corporation Limited (IOCL) is India's largest commercial enterprise and a major player in the oil and gas industry, involved in the refining, distribution, and marketing of petroleum products, including fuel and lubricants.",1959,Oil & Gas,Yes,No,No,No
INDIAN SPACE RES ORG,https://www.isro.gov.in/,"Bengaluru, India","The Indian Space Research Organisation (ISRO) is India's national space agency, responsible for space exploration, satellite development, and space technology research and applications.",1969,Space Research / Aerospace,Yes,No,Yes,No
INDICATE BIOTECHNOLOGY SHANGHAI CO LTD,[Not Available],"Shanghai, China","Indicate Biotechnology Shanghai Co. Ltd is a biotechnology company specializing in the development and commercialization of diagnostic assays and molecular biology tools, particularly for infectious diseases and cancer.",[Not Available],Biotechnology / Diagnostics,No,Yes,Yes,No
INDICATE SOLUTIONS SL,[Not Available],"Madrid, Spain","Indicate Solutions SL is a company that focuses on providing innovative diagnostic solutions and medical technologies, including advanced assays and testing platforms for various diseases.",[Not Available],Biotechnology / Diagnostics,No,Yes,Yes,No
INDOCO REMEDIES LTD,https://www.indoco.com/,"Mumbai, India","Indoco Remedies Ltd is a pharmaceutical company engaged in the manufacturing and marketing of pharmaceuticals, including prescription medicines, over-the-counter products, and veterinary drugs.",1945,Pharmaceuticals,No,Yes,Yes,No
INDUS BIOTECH PRIVATE LTD,[Not Available],[Not Available],Indus Biotech Private Ltd is a biotechnology company focused on developing and commercializing novel biopharmaceuticals and therapeutic solutions for various health conditions.,[Not Available],Biotechnology,No,Yes,Yes,No
INDYME SOLUTIONS LLC,https://www.indyme.com/,"Houston, Texas, United States","Indyme Solutions LLC provides advanced technology solutions for security, loss prevention, and customer service in retail environments, including electronic article surveillance and employee communication systems.",2002,Technology / Retail Solutions,No,Yes,No,No
INFECTION CONTROL GUARDIAN SHANDONG MEDICAL TECHNOLOGY CO LT,[Not Available],"Shandong, China","Infection Control Guardian Shandong Medical Technology Co. Ltd is a company specializing in medical technology solutions aimed at infection control, including diagnostic tools and protective equipment.",[Not Available],Medical Technology / Infection Control,No,Yes,Yes,No
INFECTIONSHIELD BIOTECH PRIVATE LTD,[Not Available],[Not Available],"InfectionShield Biotech Private Ltd is a biotechnology company focused on developing innovative solutions for infection prevention and control, including vaccines and therapeutic agents.",[Not Available],Biotechnology / Infection Control,No,Yes,Yes,No
INFECTIOUS DISEASES RES INST,[Not Available],[Not Available],"The Infectious Diseases Research Institute is a research organization dedicated to studying infectious diseases, developing new treatments and vaccines, and improving public health outcomes through innovative research.",[Not Available],Research / Infectious Diseases,No,No,Yes,No
INFEX THERAPEUTICS LTD,[Not Available],[Not Available],"Infex Therapeutics Ltd is a biotechnology company focused on developing novel therapies and treatments for infectious diseases, leveraging advanced research to create effective antiviral and antimicrobial agents.",[Not Available],Biotechnology / Infectious Diseases,No,Yes,Yes,No
INFINITY BIOLOGIX LLC,https://www.infinitybiologix.com/,"New York, New York, United States","Infinity Biologix LLC is a biotechnology company specializing in the development and commercialization of advanced biospecimen processing and storage solutions, supporting research in genomics, proteomics, and diagnostics.",2007,Biotechnology / Biobanking,No,Yes,Yes,No
INFINITY BIOMARKERS,[Not Available],[Not Available],"Infinity Biomarkers is a biotechnology company focused on identifying and developing biomarkers for disease diagnosis, prognosis, and personalized medicine, with an emphasis on innovative diagnostic assays.",[Not Available],Biotechnology / Biomarkers,No,Yes,Yes,No
INFIRST HEALTHCARE LTD,[Not Available],[Not Available],"Infirst Healthcare Ltd is a healthcare company dedicated to providing innovative medical solutions, including diagnostics and therapeutic products aimed at improving patient care and health outcomes.",[Not Available],Healthcare / Medical Devices,No,Yes,Yes,No
INFLAMED PHARMA GMBH,https://www.inflamed.de/,"Munich, Germany","InFlamed Pharma GmbH is a pharmaceutical company focusing on developing therapies for inflammatory diseases, with an emphasis on creating innovative treatments for conditions such as rheumatoid arthritis and inflammatory bowel disease.",2013,Pharmaceuticals / Inflammatory Diseases,No,Yes,Yes,No
INFLAMMATIX INC,https://www.inflammatix.com/,"South San Francisco, California, United States","Inflammatix Inc. is a biotechnology company specializing in developing diagnostic tests to differentiate between bacterial and viral infections, aiming to improve patient management and treatment outcomes in infectious diseases.",2014,Biotechnology / Diagnostics,No,Yes,Yes,No
INFLARX GMBH,https://www.inflarx.de/,"Jena, Germany","InflaRx GmbH is a biopharmaceutical company focused on developing novel therapies for inflammatory diseases, including immune-mediated and chronic inflammatory conditions, utilizing its proprietary technology platform.",2007,Biopharmaceuticals / Inflammatory Diseases,No,Yes,Yes,No
INFLAVONA AB,[Not Available],"Lund, Sweden","InFlavona AB is a biotechnology company specializing in the development of innovative treatments and therapies based on flavonoid compounds for various health conditions, including inflammatory and chronic diseases.",[Not Available],Biotechnology / Pharmaceuticals,No,Yes,Yes,No
INFLUENZA SCI RES INST,[Not Available],[Not Available],"The Influenza Science Research Institute is dedicated to studying influenza viruses, developing new vaccines and antiviral therapies, and advancing knowledge on influenza epidemiology and public health measures.",[Not Available],Research / Influenza,No,No,Yes,No
INFO LEAF KK,[Not Available],"Tokyo, Japan","Info Leaf KK is a technology company providing IT solutions and services, including software development, data management, and digital transformation strategies for various industries.",[Not Available],Information Technology,No,Yes,No,No
INFOLEAF INC,[Not Available],[Not Available],"InfoLeaf Inc. is a technology company specializing in providing information management and data analysis solutions, focusing on software development and IT services for various industry needs.",[Not Available],Information Technology,No,Yes,No,No
INFORM INST OPERATIONS RES & MANAGEMENT,[Not Available],[Not Available],"Inform Institute for Operations Research and Management focuses on research and development in operations management, providing insights and solutions for optimizing business processes and operational efficiency.",[Not Available],Research / Operations Management,No,No,Yes,No
INFORM SOFTWARE CORP,https://www.inform-software.com/,[Not Available],"Inform Software Corp specializes in providing software solutions for business process optimization and decision-making, offering tools for data management, analytics, and enterprise resource planning (ERP).",[Not Available],Software / IT Solutions,No,Yes,No,No
ING & ANALYSE & GENETIQUE ENVIRONNEMENT,[Not Available],[Not Available],"ING & Analyse & Genetique Environnement is a research organization specializing in genetic and environmental analysis, focusing on studying the interactions between genetics and environmental factors in various contexts.",[Not Available],Research / Genetics / Environmental Science,No,Yes,Yes,No
INGENEW PHARMA INC,[Not Available],[Not Available],"InGenew Pharma Inc. is a pharmaceutical company dedicated to the development of innovative drug therapies and biopharmaceuticals, with a focus on advancing treatments for complex diseases.",[Not Available],Pharmaceuticals,No,Yes,Yes,No
INGENIK LLC,https://www.ingenik.com/,"Durham, North Carolina, United States","Ingenik LLC is a biotechnology company that focuses on developing advanced molecular diagnostics and therapeutic solutions, particularly in the areas of genetic testing and personalized medicine.",2013,Biotechnology / Molecular Diagnostics,No,Yes,Yes,No
