Company Name,Website,Location,About,Founded Year,Industry,Is Government Institute,Is a Private Company,Is a Research Institution,Is a Medical Center,Academic Institute Type,Academic Areas
AMITY INT SCHOOL,http://www.amity.edu/ais/,Various locations in India,"Amity International School is part of the Amity Education Group, offering high-quality education from primary to higher secondary levels. The schools are known for their emphasis on holistic development, academic excellence, and global exposure.",1991,"Education, Schooling",No,Yes,No,No,Private School,"Primary Education, Secondary Education"
ARASU ENG COLLEGE,http://arasumohamed.ac.in/,"Kumbakonam, Tamil Nadu, India","Arasu Engineering College offers undergraduate and postgraduate engineering programs. It is dedicated to providing quality education in various engineering disciplines, fostering innovation, and promoting research activities.",2000,"Higher Education, Engineering",No,Yes,No,No,Private Engineering College,"Engineering, Technology"
ATME COLLEGE ENG,https://www.atme.in/,"Mysuru, Karnataka, India","ATME College of Engineering offers undergraduate programs in various engineering disciplines. The institution is focused on providing quality technical education and has a strong emphasis on innovation, research, and entrepreneurship.",2010,"Higher Education, Engineering",No,Yes,No,No,Private Engineering College,"Engineering, Technology"
BASIC MEDICINE & CANCER CHINESE ACAD SCI,http://english.ibp.cas.cn/,"Beijing, China","This institute is part of the Chinese Academy of Sciences and focuses on basic medical research and cancer studies. It is involved in cutting-edge research in life sciences, particularly in understanding the molecular and cellular mechanisms underlying various diseases.",1958 (Chinese Academy of Sciences),"Research, Medical Research",Yes,No,Yes,No,National Research Institute,"Cancer Research, Molecular Biology, Life Sciences"
BAYLOR COLLEGE MEDICINE,https://www.bcm.edu/,"Houston, Texas, United States","Baylor College of Medicine is a premier health sciences university known for its excellence in education, research, and patient care. It offers programs in medicine, biomedical sciences, and health professions and is affiliated with several hospitals in the Texas Medical Center.",1900,"Higher Education, Medical Research, Healthcare",No,Yes (Non-Profit),Yes,Yes,Private Medical School,"Medicine, Biomedical Sciences, Health Professions"
BENGBU MEDICAL COLLEGE FIRST AFFILIATED,http://www.bbmc.edu.cn/,"Bengbu, Anhui, China","The First Affiliated Hospital of Bengbu Medical College is a comprehensive medical institution that provides healthcare services, medical education, and research. It is affiliated with Bengbu Medical College and serves as a primary teaching hospital.",1958,"Healthcare, Medical Education, Research",Yes,No,Yes,Yes,University Hospital,"Medicine, Healthcare, Medical Research"
BHARATI VIDYAPEETH ENG COLLEGE,https://bvcoep.bharatividyapeeth.edu/,"Pune, Maharashtra, India","Bharati Vidyapeeth College of Engineering is a part of Bharati Vidyapeeth University and offers undergraduate and postgraduate programs in engineering. The college is known for its focus on quality education, research, and industry collaborations.",1983,"Higher Education, Engineering",No,Yes,Yes,No,Private Engineering College,"Engineering, Technology"
BK MODY GOVERNMENT PHARM COLLEGE,https://www.bkmgpharma.org/,"Rajkot, Gujarat, India",B. K. Mody Government Pharmacy College is a government institution that offers undergraduate and postgraduate programs in pharmacy. It is committed to providing high-quality education and research opportunities in the field of pharmaceutical sciences.,1976,"Higher Education, Pharmacy",Yes,No,Yes,No,Government Pharmacy College,"Pharmaceutical Sciences, Pharmacy"
CANCER HOSPITAL CHINESE ACAD MEDICINE SC,https://www.cicams.ac.cn/,"Beijing, China","The Cancer Hospital of the Chinese Academy of Medical Sciences is a leading cancer research and treatment center in China. It is renowned for its comprehensive cancer care, cutting-edge research, and educational programs in oncology.",1958,"Healthcare, Medical Research, Oncology",Yes,No,Yes,Yes,Specialized Cancer Hospital,"Oncology, Cancer Research, Medical Sciences"
CHANDIGARH GROUP COLLEGES,https://www.cgc.edu.in/,"Mohali, Punjab, India","CGC offers undergraduate and postgraduate programs in various fields, including engineering, management, and computer applications. It emphasizes industry-oriented education and research.",2001,Higher Education,No,Yes,No,No,Private College,"Engineering, Management, Computer Applications"
CHANGZHI MEDICAL COLLEGE AFFILIATED HEPI,http://www.czmc.edu.cn/,"Changzhi, Shanxi, China",Changzhi Medical College is focused on medical education and research. It offers a range of medical programs and operates affiliated hospitals for clinical training.,1960,"Higher Education, Medicine",Yes,No,Yes,Yes,Public Medical College,"Medicine, Clinical Training"
CHARITE-UNIV MEDIZIN BERLIN,https://www.charite.de/en/,"Berlin, Germany","CharitÃ© is one of Europe's largest university hospitals, known for its comprehensive medical care, research, and education. It is a leading institution in medical research and clinical services.",1710,"Healthcare, Medical Research, Education",Yes,No,Yes,Yes,University Hospital,"Medicine, Medical Research"
CHINA ACAD INSPECTION & QUARANTINE,http://www.caic.org.cn/,"Beijing, China","This academy focuses on inspection, quarantine, and quality control for import and export goods. It conducts research to ensure compliance with international standards and improve quality assurance.",2002,"Quality Control, Inspection",Yes,No,Yes,No,National Research Institute,"Quality Control, Inspection, Quarantine"
CHINA ACAD MILITARY MEDICAL SCI ACAD PLA,http://www.camms.org.cn/,"Beijing, China","The academy is a leading military medical research institution in China, focusing on medical science related to military applications, including combat medicine, bioterrorism, and military health.",1958,"Military Medicine, Research",Yes,No,Yes,No,Military Research Institute,"Military Medicine, Bioterrorism, Combat Medicine"
CHINESE ACAD INSPECTION & QUARANTINE,http://www.caic.org.cn/ (same as above),"Beijing, China",Same as above.,2002,"Quality Control, Inspection",Yes,No,Yes,No,National Research Institute,"Quality Control, Inspection, Quarantine"
CHINESE ACAD MEDICAL SCI,http://www.cams.ac.cn/,"Beijing, China","The academy is a leading medical research institution in China, focusing on medical science research, clinical care, and health policy. It supports advanced medical research and medical education.",1956,"Medical Research, Healthcare",Yes,No,Yes,No,National Research Institute,"Medical Research, Healthcare"
CHINESE ACAD SCI,http://www.cas.cn/,"Beijing, China","The Chinese Academy of Sciences is the national academy for the sciences in China, focusing on a wide range of research areas including natural sciences, engineering, and technology.",1949,"Research, Science",Yes,No,Yes,No,National Academy,"Natural Sciences, Engineering, Technology"
CHINESE ACAD SCI BASIC MEDICINE & CANCER,[Not available],"Beijing, China",This institute focuses on basic research in medicine and cancer. It aims to advance knowledge in cancer biology and develop new therapeutic strategies.,Information not readily available,Medical Research,Yes,No,Yes,No,National Research Institute,"Basic Medicine, Cancer Research"
CHINESE ACAD SCI GUANGZHOU ADVANCED TECH,http://www.giat.ac.cn/,"Guangzhou, China","The Guangzhou Institute of Advanced Technology focuses on cutting-edge research and development in technology and innovation, including robotics, electronics, and information technology.",2009,"Advanced Technology, Research",Yes,No,Yes,No,National Research Institute,"Robotics, Electronics, Information Technology"
CHINESE ACAD SCI HEILONGJIANG RIVER FISH,[Not available],"Heilongjiang, China","The Heilongjiang River Fish Research Institute focuses on aquatic biology and the study of fishery resources in the Heilongjiang River basin, including environmental conservation efforts.",Information not readily available,"Research, Aquatic Biology",Yes,No,Yes,No,Research Institute,"Aquatic Biology, Fishery Resources"
CHINESE ASCI ACAD SHANGHAI MATERIA MEDIC,http://www.simm.ac.cn/,"Shanghai, China","The Shanghai Institute of Materia Medica focuses on pharmaceutical research and development, particularly in traditional Chinese medicine and drug discovery.",1932,Pharmaceutical Research,Yes,No,Yes,No,National Research Institute,"Pharmaceutical Research, Traditional Chinese Medicine"
CHINESE PEOPLES LIBERATION ARMY ACAD MILITARY,[Not available],"Beijing, China","This academy focuses on military medicine research, including the development of medical technologies and practices for military use.",Information not readily available,Military Medicine,Yes,No,Yes,No,Military Research Institute,"Military Medicine, Medical Technologies"
CHINESE SCI ACAD SHANGHAI MATERIA MEDICA,http://www.simm.ac.cn/ (same as above),"Shanghai, China",Same as above.,1932,Pharmaceutical Research,Yes,No,Yes,No,National Research Institute,"Pharmaceutical Research, Traditional Chinese Medicine"
CHONGQING ACAD ANIMAL SCI,http://www.cqzxy.org/,"Chongqing, China","This academy focuses on research in animal science, including breeding, nutrition, and health. It aims to advance the scientific understanding of animal production and welfare.",Information not readily available,Animal Science Research,Yes,No,Yes,No,Research Institute,"Animal Science, Animal Health"
CHONGQING IND POLYTECHNIC COLLEGE,http://www.cqpt.edu.cn/,"Chongqing, China","This polytechnic college offers vocational and technical education in various fields, including engineering, business, and applied sciences.",Information not readily available,"Higher Education, Vocational Training",Yes,No,No,No,Public Polytechnic College,"Engineering, Business, Applied Sciences"
CHONGQING MEDICAL & PHARM COLLEGE FIRST,http://www.cqmpc.edu.cn/,"Chongqing, China","This college offers programs in medical and pharmaceutical sciences, emphasizing practical training and research in healthcare and drug development.",Information not readily available,"Higher Education, Medical and Pharmaceutical Sciences",Yes,No,Yes,No,Public Medical College,"Medical Sciences, Pharmaceutical Sciences"
CMR Engineering College,https://www.cmr.edu.in/engg/,"Hyderabad, Telangana, India","CMR Engineering College offers undergraduate and postgraduate programs in engineering and technology. It is known for its focus on research, innovation, and industry collaboration.",1980,"Higher Education, Engineering",No,Yes,No,No,Private Engineering College,"Engineering, Technology"
COLLEGE ENG,Information not available,Information not available,The term College of Engineering can refer to various institutions worldwide. Specific details would be required to provide accurate information.,Information not available,"Higher Education, Engineering",Information not available,Information not available,Information not available,Information not available,Information not available,Engineering
COLORADO SCHOOL MINES,https://www.mines.edu/,"Golden, Colorado, USA","Colorado School of Mines is a public research university specializing in engineering and applied science. It is known for its programs in mining engineering, materials science, and energy.",1874,"Higher Education, Engineering",Yes,No,Yes,No,Public Research University,"Engineering, Applied Science"
CVR COLLEGE ENG,https://www.cvr.edu.in/,"Hyderabad, Telangana, India",CVR College of Engineering offers undergraduate and postgraduate programs in engineering and technology. It focuses on providing quality education and research opportunities.,1985,"Higher Education, Engineering",No,Yes,No,No,Private Engineering College,"Engineering, Technology"
DAYANANDA SAGAR COLLEGE ENG,https://www.dsce.edu.in/,"Bangalore, Karnataka, India","Dayananda Sagar College of Engineering offers a range of undergraduate and postgraduate programs in engineering and technology, emphasizing industry-oriented education.",1979,"Higher Education, Engineering",No,Yes,No,No,Private Engineering College,"Engineering, Technology"
DONGEUI INST TECHNOLOGY IND ACADEMIC COO,http://www.dong-eui.ac.kr/,"Busan, South Korea","Dongeui Institute of Technology focuses on vocational education and industry-academic cooperation, providing technical education and research opportunities in various fields.",Information not readily available,"Higher Education, Technical Training",No,Yes,No,No,Private Technical Institute,"Engineering, Technology, Applied Sciences"
DY PATIL EDUCATION SOC,https://www.dypatil.edu/,"Navi Mumbai, Maharashtra, India","DY Patil Education Society operates various educational institutions, including schools, colleges, and universities, across diverse fields such as engineering, medicine, and management.",1984,Higher Education,No,Yes,No,No,Private Educational Society,"Engineering, Medicine, Management"
ECOLE NAT SUPERIEURE CHIM MONTPELLIER,http://www.enscm.fr/,"Montpellier, France",ENSCM is a prestigious engineering school specializing in chemistry and chemical engineering. It focuses on both fundamental and applied chemistry research.,1794,"Higher Education, Chemical Engineering",Yes,No,Yes,No,Public Engineering School,"Chemistry, Chemical Engineering"
ECOLE NAT VETERINAIRE MAISONS ALFORT,http://www.env-montpellier.fr/,"Maisons-Alfort, France","ENVA is a leading veterinary school in France, offering education and research in veterinary science, animal health, and related fields.",1766,"Higher Education, Veterinary Medicine",Yes,No,Yes,No,Public Veterinary School,"Veterinary Medicine, Animal Health"
ECOLE NAT VETERINAIRE TOULOUSE,http://www.envt.fr/,"Toulouse, France",ENVT is a prominent veterinary school in France known for its veterinary education and research in animal health and medicine.,1825,"Higher Education, Veterinary Medicine",Yes,No,Yes,No,Public Veterinary School,"Veterinary Medicine, Animal Health"
ECOLE ROYALE NAVALE ERN,http://www.ecole-navale.fr/,"Brest, France",Ãcole Royale Navale is the French naval academy responsible for training officers for the French Navy. It provides education in naval sciences and military leadership.,1830,"Higher Education, Military",Yes,No,No,No,Military Academy,"Naval Sciences, Military Leadership"
ECOLE SUPERIEURE CHIM PHYSIQUE ELECTRONI,http://www.cpe.fr/,"Lyon, France","CPE Lyon is an engineering school specializing in chemistry, physics, and electronics, with a strong focus on research and industrial applications.",1882,"Higher Education, Engineering",Yes,No,Yes,No,Public Engineering School,"Chemistry, Physics, Electronics"
ECOLE SUPERIEURE IND DU TEXTILE & HABIL,[Not available],Information not readily available,"This school specializes in textile and apparel engineering, providing education and research in the textile industry.",Information not readily available,"Higher Education, Textile Engineering",Information not readily available,Information not readily available,Information not readily available,No,Information not readily available,"Textile Engineering, Apparel Design"
EDUCATIONAL FOUND OTSUMA GAKUIN,http://www.otsuma.ac.jp/,"Tokyo, Japan","Otsuma Gakuin operates a network of educational institutions in Japan, including universities, colleges, and high schools, focusing on a range of academic disciplines.",1918,Higher Education,No,Yes,No,No,Private Educational Foundation,Various academic disciplines
EDWARD VIA COLLEGE OSTEOPATHIC MEDICINE,https://www.vcom.edu/,"Multiple campuses in the USA (Virginia, Carolinas, Alabama, and Louisiana)","VCOM focuses on osteopathic medical education, providing training in primary care and osteopathic medicine with an emphasis on community service.",2003,Medical Education,No,Yes,Yes,No,Private Medical School,"Osteopathic Medicine, Primary Care"
ENVA ECOLE NAT VETERINAIRE ALFORT,http://www.env-alfort.fr/,"Maisons-Alfort, France","ENVA is a leading French veterinary school offering education and research in veterinary science, animal health, and medicine.",1766,"Higher Education, Veterinary Medicine",Yes,No,Yes,No,Public Veterinary School,"Veterinary Medicine, Animal Health"
FEDERAL STATE BUDGETARY EDUCATIONAL,Information not available,Information not available,"This term generally refers to institutions funded by the federal government, but specifics are needed to provide accurate details.",Information not available,Higher Education,Yes,No,Information not available,Information not available,Information not available,Information not available
FRANCIS XAVIER ENG COLLEGE,https://www.francisxavier.edu.in/,"Tirunelveli, Tamil Nadu, India","This college offers undergraduate and postgraduate programs in engineering and technology, focusing on technical education and research.",1994,"Higher Education, Engineering",No,Yes,No,No,Private Engineering College,"Engineering, Technology"
FUNDACAO EDUCACIONAL CRICIUMA,http://www.fundacraciuma.edu.br/,"CriciÃºma, Santa Catarina, Brazil","This foundation operates various educational institutions, including universities and colleges in Brazil, providing education across multiple disciplines.",Information not readily available,Higher Education,No,Yes,No,No,Private Educational Foundation,Various academic disciplines
INST FEDERAL EDUCACAO CIENCIA E TECNOLOG,http://www.ifsp.edu.br/,Brazil (various locations),"The Federal Institutes in Brazil provide technical and higher education, focusing on applied sciences, technology, and vocational training.",Information not readily available,"Higher Education, Technical Training",Yes,No,Yes,No,Public Educational Institution,"Applied Sciences, Technology, Vocational Training"
INST TECNOLOGICO Y ESTUDIOS SUPERIORES,https://www.itesm.mx/,"Monterrey, Nuevo LeÃ³n, Mexico","ITESM is a leading private university in Mexico known for its high-quality education in various fields, including business, engineering, and social sciences.",1943,Higher Education,No,Yes,Yes,No,Private University,"Business, Engineering, Social Sciences"
MOREHOSE MEDICINE SCHOOL,https://www.msm.edu/,"Atlanta, Georgia, USA","Morehouse School of Medicine is a medical school dedicated to improving health outcomes, particularly in underserved communities, through medical education and research.",1975,Medical Education,No,Yes,Yes,Yes,Private Medical School,"Medicine, Public Health"
SHANGHAI ADVANCED RES INST CHINESE ACAD,http://www.sari.cas.cn/,"Shanghai, China","The Shanghai Advanced Research Institute focuses on cutting-edge research in various scientific fields, including advanced materials, energy, and environmental science.",Information not readily available,Research,Yes,No,Yes,No,National Research Institute,"Advanced Materials, Energy, Environmental Science"
SHANGHAI AGRIC SCI ACAD,http://www.saas.sh.cn/,"Shanghai, China","SAAS is dedicated to agricultural research and development, focusing on improving crop yields, pest management, and sustainable agriculture practices.",Information not readily available,Agricultural Research,Yes,No,Yes,No,Government Research Institute,"Agriculture, Crop Science, Pest Management"
SHANGHAI INST CERAMICS CHINESE ACAD SCI,http://www.siccas.ac.cn/,"Shanghai, China","SICCAS specializes in the research and development of advanced ceramic materials and technologies, including their applications in various industries.",1958,"Materials Science, Ceramics",Yes,No,Yes,No,National Research Institute,"Ceramics, Materials Science"
UNICAMP UNIV ESTADUAL CAMPINAS,http://www.unicamp.br/,"Campinas, SÃ£o Paulo, Brazil","UNICAMP is a major Brazilian public university known for its strong research programs and academic excellence in various fields, including science, engineering, and social sciences.",1966,Higher Education,Yes,No,Yes,No,Public University,"Science, Engineering, Social Sciences"
UNIV ABERYSTWYTH,https://www.aber.ac.uk/,"Aberystwyth, Wales, UK","Aberystwyth University offers a wide range of undergraduate and postgraduate programs and is known for its research in areas such as environmental science, agriculture, and international politics.",1872,Higher Education,No,No,Yes,No,Public University,"Environmental Science, Agriculture, International Politics"
UNIV ESTADUAL DO CEARA FUNDACAO,https://www.uece.br/,"Fortaleza, CearÃ¡, Brazil","UECE offers a range of undergraduate and graduate programs and is involved in research across various fields including education, social sciences, and health.",1975,Higher Education,Yes,No,Yes,No,Public University,"Education, Social Sciences, Health"
UNIV ESTADUAL DO OESTE DO PARANA,http://www.unioeste.br/,"Cascavel, ParanÃ¡, Brazil","UNIOESTE provides higher education and conducts research in fields such as engineering, health sciences, and social sciences.",1992,Higher Education,Yes,No,Yes,No,Public University,"Engineering, Health Sciences, Social Sciences"
UNIV ESTADUAL PAULISTA JULIO MESQUITA,http://www.unesp.br/,"SÃ£o Paulo, Brazil (multiple campuses)","UNESP is a prominent public university in Brazil with campuses throughout the state, offering a wide range of programs and research opportunities.",1976,Higher Education,Yes,No,Yes,No,Public University,Various academic disciplines
UNIV FEDERAL CIENCIAS DA SAUDE PORTO ALE,https://www.ufcspa.edu.br/,"Porto Alegre, Rio Grande do Sul, Brazil","UFCSPA focuses on health sciences education and research, including medicine, biomedical sciences, and public health.",1962,Medical Education,Yes,No,Yes,Yes,Public University,"Medicine, Biomedical Sciences, Public Health"
UNIV FEDERAL SUL & SUDESTE PARA,https://www.unifesspa.edu.br/,"MarabÃ¡, ParÃ¡, Brazil","UNIFESSPA provides higher education and conducts research in a variety of fields including engineering, humanities, and natural sciences.",2013,Higher Education,Yes,No,Yes,No,Public University,"Engineering, Humanities, Natural Sciences"
UNIV FLORIDA A & M,https://www.famu.edu/,"Tallahassee, Florida, USA","FAMU is a historically black university offering undergraduate and graduate programs in various fields, including science, engineering, and liberal arts.",1887,Higher Education,Yes,No,Yes,No,Public University,"Science, Engineering, Liberal Arts"
UNIV FUDAN AFFILIATED JINSHAN HOSPTIAL,http://www.jshospital.org/,"Shanghai, China","Jinshan Hospital, affiliated with Fudan University, provides comprehensive medical services and conducts research in various medical fields.",Information not readily available,Healthcare,Yes,No,Yes,Yes,Public Medical Center,"Medicine, Healthcare"
UNIV LA PAZ FUNDACION PARA INVESTIGACION,Information not available,Bolivia,"This institution focuses on research and development in various academic fields, with a strong emphasis on scientific and technological advancements.",Information not readily available,"Higher Education, Research",No,Yes,Yes,No,Private Educational Foundation,Various academic disciplines
UNIV NACIONAL MAR DEL PLATA UNMDELP,http://www.mdp.edu.ar/,"Mar del Plata, Argentina","UNMDP offers undergraduate and graduate programs across multiple disciplines, with a focus on research and community engagement.",1962,Higher Education,Yes,No,Yes,No,Public University,Various academic disciplines
UNIV NACIONAL SUR UNS,http://www.uns.edu.ar/,"BahÃ­a Blanca, Argentina","UNS provides a broad range of educational programs and is involved in research activities in fields such as engineering, natural sciences, and social sciences.",1956,Higher Education,Yes,No,Yes,No,Public University,"Engineering, Natural Sciences, Social Sciences"
UNIV NOVOS NAT RES STATE,Information not available,Information not available,Information not available,Information not available,Information not available,Information not available,Information not available,Information not available,Information not available,Information not available,Information not available
UNIV SHANGHAI TCM ATTACHED LONGHUA HOSPI,http://www.lhhospital.com/,"Shanghai, China","Longhua Hospital is affiliated with the Shanghai University of Traditional Chinese Medicine, focusing on traditional Chinese medicine practices and research.",Information not readily available,"Healthcare, Traditional Medicine",Yes,No,Yes,Yes,Public Medical Center,"Traditional Chinese Medicine, Healthcare"
UNIV SHANGHAI TRADITIONAL CHINESE MEDICI,http://www.shutcm.edu.cn/,"Shanghai, China","SHUTCM offers education and research in traditional Chinese medicine, aiming to integrate traditional practices with modern medical science.",1956,"Higher Education, Traditional Medicine",Yes,No,Yes,No,Public University,"Traditional Chinese Medicine, Integrative Medicine"
UNIV SHANXI BETHUNE HOSPITAL SHANXI ACAD,http://www.sxbth.com/,"Taiyuan, Shanxi, China",Bethune Hospital is affiliated with Shanxi Medical University and provides comprehensive medical services along with research in various medical fields.,Information not readily available,Healthcare,Yes,No,Yes,Yes,Public Medical Center,"Medicine, Healthcare"
UNIV SHENZHEN GEN HOSPITAL,http://www.szgh.com/,"Shenzhen, Guangdong, China",Shenzhen General Hospital provides comprehensive medical services and engages in research in various medical disciplines.,Information not readily available,Healthcare,Yes,No,Yes,Yes,Public Medical Center,"Medicine, Healthcare"
UNIV SHENZHEN RES INST HONGKONG SCI,http://www.sri.hku.hk/,"Shenzhen, China",This research institute focuses on advancing science and technology through collaborative research initiatives with HKUST.,Information not readily available,Research,No,No,Yes,No,Research Institute,Science and Technology
UNIV SHIGA NAT CORP,http://www.u-shiga.ac.jp/,"Shiga, Japan",This university offers undergraduate and graduate programs across various disciplines and focuses on regional issues and local development.,2001,Higher Education,Yes,No,Yes,No,Public University,"Regional Studies, Various Disciplines"
UNIV SHIMANE NAT CORP,http://www.shimane-u.ac.jp/,"Shimane, Japan",This university provides a broad range of academic programs and emphasizes research in regional development and societal needs.,2004,Higher Education,Yes,No,Yes,No,Public University,"Regional Studies, Various Disciplines"
UNIV SHINHAN R & DB FOUND,http://www.shinhan.ac.kr/,"Seoul, South Korea","The foundation supports research and development initiatives associated with Shinhan University, focusing on technological and scientific advancements.",Information not readily available,Research and Development,No,No,Yes,No,Research Foundation,"Technology, Science"
UNIV SHIZUOKA PREFECTURE PUBLIC CORP,http://www.u-shizuoka-ken.ac.jp/,"Shizuoka, Japan","This public corporation manages the University of Shizuoka, which offers a range of academic programs and engages in research focusing on local and regional issues.",Information not readily available,Higher Education,Yes,No,Yes,No,Public Corporation,Various Disciplines
UNIV SICHUAN AGRIC,http://www.sicau.edu.cn/,"Chengdu, Sichuan, China",This university focuses on agricultural sciences and offers programs in various fields related to agriculture and rural development.,1906,Higher Education,Yes,No,Yes,No,Public University,"Agriculture, Rural Development"
UNIV SICHUAN SCI & ENGINEERING,http://www.scise.edu.cn/,"Zigong, Sichuan, China","This university specializes in engineering and applied sciences, offering programs and research opportunities in various technical fields.",1978,Higher Education,Yes,No,Yes,No,Public University,"Engineering, Applied Sciences"
UNIV SINGAPORE NAT,http://www.nus.edu.sg/,Singapore,NUS is a leading global university offering a comprehensive range of programs and is renowned for its research and academic excellence across various disciplines.,1905,Higher Education,Yes,No,Yes,No,Public University,Various Disciplines
UNIV SINGAPORE NAT HOSPITAL PTE LTD,https://www.nuhs.edu.sg/,Singapore,"Associated with NUS, this hospital provides comprehensive medical care and conducts research in various medical fields.",Information not readily available,Healthcare,Yes,No,Yes,Yes,Public Medical Center,"Medicine, Healthcare"
UNIV SOGANG RES & BUSINESS DEV FOUND,http://www.sogang.ac.kr/,"Seoul, South Korea","The foundation supports research and business development activities at Sogang University, focusing on innovation and commercialization of research findings.",Information not readily available,Research and Development,No,No,Yes,No,Research Foundation,"Business Development, Research Innovation"
UNIV SOOKMYUNG WOMENS IND ACAD COOP,http://www.sookmyung.ac.kr/,"Seoul, South Korea","This foundation facilitates industry-academic cooperation at Sookmyung Womenâs University, aiming to enhance collaboration between academia and industry.",Information not readily available,Research and Development,No,No,Yes,No,Research Foundation,"Industry-Academic Cooperation, Research Innovation"
UNIV SOONCHUNHYANG IND ACAD COOP FOUND,http://www.sch.ac.kr/,"Asan, South Korea","The foundation promotes collaboration between Soonchunhyang University and industry partners, focusing on research and development initiatives.",Information not readily available,Research and Development,No,No,Yes,No,Research Foundation,"Industry-Academic Cooperation, Research Innovation"
UNIV SOUTH CHINA AGRIC,http://www.scau.edu.cn/,"Guangzhou, Guangdong, China","This university specializes in agricultural science and technology, offering comprehensive programs and research opportunities in agriculture and related fields.",1909,Higher Education,Yes,No,Yes,No,Public University,"Agriculture, Agricultural Technology"
UNIV SOUTH CHINA SCI & TECHNOLOGY,http://www.scust.edu.cn/,"Guangzhou, Guangdong, China","This university provides education and research in various scientific and engineering fields, with a focus on technological innovation.",1952,Higher Education,Yes,No,Yes,No,Public University,"Science, Engineering, Technology"
UNIV SOUTH SCI & TECHNOLOGY,http://www.sustech.edu.cn/,"Shenzhen, Guangdong, China","SUSTech is known for its focus on scientific research and technological advancement, offering programs in engineering, science, and related fields.",2011,Higher Education,Yes,No,Yes,No,Public University,"Science, Technology, Engineering"
