Company Name,Website,Location,About,Founded Year,Industry,Is Government Institute,Is a private company,Is a research institution,Is a medical center (e.g. hospital or clinic),Institution Name
ABCELLERA BIOLOGICS INC,[Not Available],Canada,A biotechnology company that specializes in the discovery and development of next-generation antibody therapies.,2012,Biotechnology,No,Yes,No,No,NAVICURE BIOPHARM LTD
ABCLON INC,[Not Available],South Korea,A biopharmaceutical company that develops therapeutic antibodies and immune-oncology products.,[Not Available],Biopharmaceutical,No,Yes,No,No,NAVIDEA BIOPHARMACEUTICALS INC
ABCLONAL SCI INC,[Not Available],United States,"A biotechnology company that provides high-quality antibodies, proteins, and other reagents for life sciences research.",[Not Available],Biotechnology,No,Yes,No,No,NAVIGO PROTEINS GMBH
ABCORE INC,[Not Available],United States,A company specializing in providing antibodies and related products for research and diagnostic applications.,[Not Available],Biotechnology,No,Yes,No,No,NAVIN SAXENA RES & TECHNOLOGY PVT LTD
ABERMAX INC,[Not Available],[Not Available],[Not Available],[Not Available],[Not Available],No,Yes,No,No,NAZ BIYOTEKNOLOJI AS
ABIOCENTER JIANGSU BIOTECHNOLOGY CO LTD,[Not Available],China,A biotechnology company specializing in the development of biological products for healthcare applications.,[Not Available],Biotechnology,No,Yes,No,No,NBC DEFENCE INST
ABION INC,[Not Available],South Korea,A biopharmaceutical company that develops innovative therapeutics for oncology and other serious diseases.,[Not Available],Biopharmaceutical,No,Yes,No,No,NBC MESHTEC INC
ABIONIC SA,[Not Available],Switzerland,A biotechnology company that develops point-of-care diagnostic solutions for a variety of diseases.,[Not Available],Biotechnology,No,Yes,No,No,NCPC NEW DRUG RES & DEV CO LTD
ABIONYX PHARMA SA,[Not Available],France,A biopharmaceutical company focused on developing innovative therapies for rare and severe diseases.,[Not Available],Biopharmaceutical,No,Yes,No,No,NCR CORP
ABIVAX,[Not Available],France,"A biotechnology company focused on developing therapies for infectious diseases, inflammatory diseases, and cancer.",2013,Biotechnology,No,Yes,No,No,NDAL MFG INC
ABLE SOFT INC,[Not Available],[Not Available],[Not Available],[Not Available],[Not Available],No,Yes,No,No,NDD INC
ABLELIFE BIOTECH INC,[Not Available],[Not Available],[Not Available],[Not Available],Biotechnology,No,Yes,No,No,NDPD PHARMA INC
ABLINK BIOTECH CO LTD,[Not Available],[Not Available],[Not Available],[Not Available],Biotechnology,No,Yes,No,No,NE1 INC
ABNOVA TAIWAN CORP,[Not Available],Taiwan,A biotechnology company specializing in the development and production of high-quality antibodies and related reagents.,2002,Biotechnology,No,Yes,No,No,NEARMEDIC PHARMA LLC
ABON PHARM LLC,[Not Available],United States,A pharmaceutical company focused on developing and manufacturing generic medications.,[Not Available],Pharmaceutical,No,Yes,No,No,NEC ASIA PACIFIC PTE LTD
ABOUT BETTER LIFE EXPERIENCES LLC,[Not Available],[Not Available],[Not Available],[Not Available],[Not Available],No,Yes,No,No,NEC CORP
ABPRO CORP,[Not Available],United States,"A biotechnology company focused on accelerating the discovery, development, and manufacturing of therapeutic antibodies.",2007,Biotechnology,No,Yes,No,No,NED BIOSYSTEMS INC
ABREOS BIOSCIENCES INC,[Not Available],United States,A biotechnology company that develops precision dosing and therapeutic drug monitoring technologies.,[Not Available],Biotechnology,No,Yes,No,No,NEDERLANDSE ORG TOEGEPAST NATUURWETENSCH
ABREXA PHARM INC,[Not Available],[Not Available],[Not Available],[Not Available],Pharmaceutical,No,Yes,No,No,NEDERMAN POLSKA SP ZOO
ABS BUILDING SYSTEMS FAR EAST LTD,[Not Available],[Not Available],A company specializing in providing building systems and solutions in the Far East.,[Not Available],Construction and Building Systems,No,Yes,No,No,NEEDHAM MATERIAL SCI LLC
ABS GLOBAL INC,[Not Available],United States,A company specializing in bovine genetics and providing genetic solutions to the livestock industry.,[Not Available],Agricultural Biotechnology,No,Yes,No,No,NEIL MEDICAL CO LTD
ABSCI CORP,[Not Available],United States,A biotechnology company that uses synthetic biology to accelerate the discovery and manufacture of biologics.,[Not Available],Biotechnology,No,Yes,No,No,NEJAKAR SANTOSH M
ABT HOLDING CO,[Not Available],[Not Available],A holding company with diverse investments in various industries.,[Not Available],Holding Company,No,Yes,No,No,NEKTAR THERAPEUTICS
ABWIZ BIO INC,[Not Available],United States,A biotechnology company focused on developing and commercializing high-quality monoclonal antibodies.,[Not Available],Biotechnology,No,Yes,No,No,NELLONE THERAPEUTICS INC
AC BIOSCIENCE SA,[Not Available],Switzerland,A biotechnology company focused on developing innovative therapies for cancer and other diseases.,[Not Available],Biotechnology,No,Yes,No,No,NEMZETI NEPEGESZSEGUEGYI KOEZPONT
AC IMMUNE SA,[Not Available],Switzerland,A clinical-stage biopharmaceutical company focused on developing innovative therapies for neurodegenerative diseases.,2003,Biopharmaceutical,No,Yes,Yes,No,NEOHACK LIFE SCI LLC
ACA IND & COMERCIO PECAS AR CONDICIONA,[Not Available],Brazil,A company specialized in the industrial and commercial sale of air conditioning parts and systems.,[Not Available],Air Conditioning,No,Yes,No,No,NEOIMMUNETECH INC
ACACIA-NO-KI CO LTD,[Not Available],Japan,A company involved in the production and sale of healthcare products and medical devices.,[Not Available],Healthcare,No,Yes,No,No,NEOLEUKIN THERAPEUTICS INC
ACAD MILITARY MEDICAL SCI CHINESE PEOPLE,[Not Available],China,A military research institution specializing in medical and biological research for the Chinese military.,[Not Available],Medical Research,Yes,No,Yes,Yes,NEOPHARMA JAPAN CO LTD
ACAD MILITARY SCI CHINESE PEOPLES LIBERA,[Not Available],China,"A research institution affiliated with the Chinese People's Liberation Army, focusing on scientific and military research.",[Not Available],Military Research,Yes,No,Yes,No,NEORTESBIO INC
ACARI BIO INC,[Not Available],[Not Available],A biotechnology company specializing in the development of innovative biological solutions for healthcare.,[Not Available],Biotechnology,No,Yes,No,No,NEPHROSANT INC
ACCEA CO LTD,[Not Available],Japan,A company providing printing and related services for various industries.,[Not Available],Printing and Services,No,Yes,No,No,NEROME BIOLOGICAL RESOURCES INST
ACCELERATED WOUNDCARE RES INC,[Not Available],United States,A biotechnology company focused on developing advanced wound care solutions.,[Not Available],Biotechnology,No,Yes,No,No,NERRE THERAPEUTICS LTD
ACCENCIO LLC,[Not Available],[Not Available],A company providing innovative solutions and services in the field of life sciences.,[Not Available],Life Sciences,No,Yes,No,No,NESSELHUT BESITZGES MBH
ACCENTURE GLOBAL SOLUTIONS LTD,[Not Available],Global,"A multinational professional services company providing consulting, technology, and outsourcing services.",1989,Consulting and Technology Services,No,Yes,No,No,NESTEC SA
ACCESS ADVANCED HEALTH INST,[Not Available],United States,An advanced health institute focused on providing cutting-edge medical research and healthcare services.,[Not Available],Healthcare Research,No,Yes,Yes,Yes,NETRI
ACCESS BIO INC,[Not Available],United States,A biotechnology company specializing in the development and manufacturing of diagnostic products for infectious diseases.,[Not Available],Biotechnology,No,Yes,No,No,NEUCOLOGY BIOMEDICAL INC
ACCESS MEDICAL SYSTEMS LTD,[Not Available],[Not Available],A company providing innovative medical systems and solutions to healthcare providers.,[Not Available],Medical Technology,No,Yes,No,No,NEUOME PEPTIDES PTE LTD
ACCESS NUTRIENTS INC,[Not Available],United States,A company focused on developing and providing nutrient supplements and solutions to improve health outcomes.,[Not Available],Nutritional Supplements,No,Yes,No,No,NEURA LABS LTD
ACCUCISE DIAGNOSTICS INC,[Not Available],[Not Available],A company specializing in providing precise diagnostic solutions for various medical conditions.,[Not Available],Diagnostics,No,Yes,No,No,NEURACLE SCI CO LTD
ACCULI LABS PRIVATE LTD,[Not Available],India,A technology-driven company providing innovative solutions in the healthcare diagnostics sector.,[Not Available],Healthcare Technology,No,Yes,No,No,NEURALIS SA
ACCURE HEALTH INC,[Not Available],United States,A healthcare company focused on developing innovative diagnostic and therapeutic solutions.,[Not Available],Healthcare,No,Yes,No,No,NEURALY INC
ACCURI LLC,[Not Available],United States,A biotechnology company specializing in flow cytometry systems for cellular analysis.,[Not Available],Biotechnology,No,Yes,No,No,NEURIMMUNE AG
ACCUTAR BIOTECHNOLOGY INC,[Not Available],United States,A biotechnology company focused on developing next-generation precision medicines for cancer treatment.,[Not Available],Biotechnology,No,Yes,No,No,NEURO-INNOVATORS LLC
ACEA THERAPEUTICS INC,[Not Available],United States,"A biopharmaceutical company developing innovative therapies for unmet medical needs, including COVID-19 treatments.",[Not Available],Biopharmaceutical,No,Yes,No,No,NEUROBO PHARM INC
ACEAE NUTRA LTD,[Not Available],[Not Available],[Not Available],[Not Available],Nutraceuticals,No,Yes,No,No,NEUROCHLORE
ACELLMED SP ZOO,[Not Available],Poland,A company specializing in advanced cellular therapies and regenerative medicine.,[Not Available],Regenerative Medicine,No,Yes,No,No,NEUROEM THERAPEUTICS INC
ACENET INC,[Not Available],[Not Available],A company providing IT and networking solutions to various industries.,[Not Available],Information Technology,No,Yes,No,No,NEUROENHANCEMENT LAB LLC
ACER INC,[Not Available],Taiwan,A multinational hardware and electronics company specializing in advanced electronics technology.,1976,Electronics,No,Yes,No,No,NEUROP INC
ACER THERAPEUTICS INC,[Not Available],United States,A pharmaceutical company developing therapies for rare and severe diseases.,[Not Available],Pharmaceutical,No,Yes,No,No,NEUSOFT MEDICAL SYSTEMS CO LTD
ACHAEMENID LLC,[Not Available],[Not Available],[Not Available],[Not Available],[Not Available],No,Yes,No,No,NEUTEC AR GE SANAYI & TICARET AS
ACHEDOSOL SUMINISTROS SL,[Not Available],Spain,A company specializing in the supply of medical and healthcare products.,[Not Available],Medical Supplies,No,Yes,No,No,NEUTROLIS INC
ACHELOIS BIOPHARM INC,[Not Available],United States,A biopharmaceutical company focused on developing novel therapies for various diseases.,[Not Available],Biopharmaceutical,No,Yes,No,No,NEVADA RES & INNOVATION CORP
ACIBADEM LABMED SAGLIK HIZMETLERI ANONIM,[Not Available],Turkey,"A company providing healthcare services, including medical laboratory services, across Turkey.",[Not Available],Healthcare Services,No,Yes,No,Yes,NEVOCCO SCI CO LTD
ACLARIS THERAPEUTICS INC,[Not Available],United States,A biopharmaceutical company focused on developing therapies for dermatological and immuno-inflammatory diseases.,2012,Biopharmaceutical,No,Yes,No,No,NEW AMSTERDAM SCI INC
ACM BIOLABS PTE LTD,[Not Available],Singapore,A biotechnology company focused on developing synthetic biology and membrane protein technology solutions.,[Not Available],Biotechnology,No,Yes,Yes,No,NEW ENGLAND BIOLABS INC
ACON BIOTECH HANGZHOU CO LTD,[Not Available],China,A biotechnology company specializing in the development and manufacturing of diagnostic products.,[Not Available],Biotechnology,No,Yes,No,No,NEW ERA MABS GMBH
ACOUSTIC MASK LLC,[Not Available],[Not Available],A company specializing in acoustic technology and related applications.,[Not Available],Acoustic Technology,No,Yes,No,No,NEW GOODS KK
ACP JAPAN CO LTD,[Not Available],Japan,A company involved in providing pharmaceutical and medical products in Japan.,[Not Available],Pharmaceutical,No,Yes,No,No,NEW IMAGE INT LTD
ACRO DIAGNOSTICS BEIJING CO LTD,[Not Available],China,A diagnostics company providing advanced diagnostic solutions and products for the healthcare sector.,[Not Available],Diagnostics,No,Yes,No,No,NEW PROPELLER TECHNOLOGIES RES & DEV PRI
ACROBIOSYSTEMS CO LTD,[Not Available],China,A biotechnology company focusing on the development of recombinant proteins and other related products for drug development.,[Not Available],Biotechnology,No,Yes,No,No,NEW SENSES UZAY TEKNOLOJI & SAGLIK ARAS
ACROIMMUNE GUANGZHOU BIOTECH LTD,[Not Available],China,A biotechnology company specializing in the development of immune-oncology therapies and related biotechnologies.,[Not Available],Biotechnology,No,Yes,No,No,NEW YNP CO LTD
ACTELION PHARM LTD,[Not Available],Switzerland,"A biopharmaceutical company that specializes in the discovery, development, and commercialization of innovative drugs for diseases with significant unmet medical needs.",1997,Biopharmaceutical,No,Yes,Yes,No,NEW YORK BLOOD CENT INC
ACTICOR BIOTECH,[Not Available],France,"A biopharmaceutical company developing innovative therapies for acute and severe conditions, particularly in the field of cardiovascular diseases.",2013,Biopharmaceutical,No,Yes,Yes,No,NEW YORK GENOME CENT INC
ACTIVA LIVING CO LTD,[Not Available],[Not Available],A company providing innovative products and services for enhancing lifestyle and well-being.,[Not Available],Consumer Goods and Lifestyle,No,Yes,No,No,NEW YORK SOC RELIEF RUPTURED & CRIPPLED
ACTIVE MOTIF SHANGHAI LTD,[Not Available],China,A biotechnology company specializing in epigenetic research tools and services for life science research.,[Not Available],Biotechnology,No,Yes,Yes,No,NEWCELLS BIOTECH LTD
ACTYM THERAPEUTICS INC,[Not Available],United States,A biotechnology company focused on developing immuno-oncology therapies to treat cancer by harnessing the immune system.,[Not Available],Biotechnology,No,Yes,Yes,No,NEWGLAB PHARMA CO LTD
ACULEUS THERAPEUTICS PTY LTD,[Not Available],Australia,"A biopharmaceutical company focused on developing targeted therapies for various diseases, particularly in the area of cancer treatment.",[Not Available],Biopharmaceutical,No,Yes,Yes,No,NEWIMMUNE II LLC
ACUMEN RES LAB PTE LTD,[Not Available],Singapore,A research laboratory providing specialized services in various fields of life sciences and biotechnology.,[Not Available],Biotechnology and Life Sciences,No,Yes,Yes,No,NEWISH TECHNOLOGY BEIJING CO LTD
ACURASTEM INC,[Not Available],United States,A biotechnology company focused on developing innovative treatments for neurodegenerative diseases using stem cell technology.,[Not Available],Biotechnology,No,Yes,Yes,No,NEWPOWER INC
AD COMMUNICATION CO LTD,[Not Available],Japan,"A company specializing in providing communication and marketing services, including digital advertising and public relations.",[Not Available],Marketing and Communications,No,Yes,No,No,NEWSOARA BIOPHARMA CO LTD
AD LENTUS GMBH,[Not Available],Germany,A company involved in providing engineering solutions and technologies in various industrial sectors.,[Not Available],Engineering and Technology,No,Yes,No,No,NEWSOUTH INNOVATIONS PTY LTD
ADAGIO THERAPEUTICS INC,[Not Available],United States,"A biotechnology company focused on developing antibody therapies to address infectious diseases, including COVID-19.",[Not Available],Biotechnology,No,Yes,Yes,No,NEXTBIOMICS SRL
ADAMAS BIOTECH SRL,[Not Available],Italy,A biotechnology company focused on the development of advanced therapeutic solutions for various diseases.,[Not Available],Biotechnology,No,Yes,Yes,No,NEXTCELL PHARMA AB
ADAPTATE BIOTHERAPEUTICS LTD,[Not Available],United Kingdom,A biopharmaceutical company developing novel immune therapies for the treatment of cancer.,[Not Available],Biopharmaceutical,No,Yes,Yes,No,NEXTING INC
ADAPTIVE BIOTECHNOLOGIES CORP,[Not Available],United States,A biotechnology company specializing in immune-driven medicine and diagnostics using advanced sequencing technologies.,2009,Biotechnology,No,Yes,Yes,No,NEYROBLASTGX LLC
ADAPTIVE DIAGNOSTICS LTD,[Not Available],[Not Available],A company providing diagnostic solutions based on adaptive immune system analysis.,[Not Available],Diagnostics,No,Yes,Yes,No,NFERENCE INC
ADAPTIVE PHAGE THERAPEUTICS INC,[Not Available],United States,A biotechnology company developing bacteriophage-based therapies to treat antibiotic-resistant bacterial infections.,[Not Available],Biotechnology,No,Yes,Yes,No,NG BIOTECH
ADAPTVAC APS,[Not Available],Denmark,A biotechnology company specializing in the development of virus-like particle (VLP) vaccines for infectious diseases and cancer.,[Not Available],Biotechnology,No,Yes,Yes,No,NGM BIOPHARMACEUTICALS INC
ADASKY LTD,[Not Available],Israel,A company specializing in the development of thermal imaging technology for automotive and smart city applications.,[Not Available],Technology and Automotive,No,Yes,No,No,NIBEC CO LTD
ADBIOTECH CO LTD,[Not Available],South Korea,A biotechnology company focused on developing immune-enhancing products and therapeutics for animal and human health.,[Not Available],Biotechnology,No,Yes,Yes,No,NICCA CHEM CO LTD
ADD ADVANCED DRUG DELIVERY TECHNOLOGIES,[Not Available],[Not Available],A company specializing in advanced drug delivery systems to enhance the efficacy and safety of pharmaceuticals.,[Not Available],Pharmaceutical Technology,No,Yes,Yes,No,NICE SEEDS CO LTD
ADDMAN ENG LLC,[Not Available],United States,"A company providing advanced manufacturing and engineering services, including additive manufacturing solutions.",[Not Available],Engineering and Manufacturing,No,Yes,No,No,NICHIREI MAGNET KK
ADEN INT CO LTD,[Not Available],China,"A company providing integrated facility management services, including energy management and smart building solutions.",[Not Available],Facility Management,No,Yes,No,No,NICOGEN LTD
ADENOPREVENT CO LTD,[Not Available],Japan,A biotechnology company developing preventative solutions and treatments for infectious diseases.,[Not Available],Biotechnology,No,Yes,Yes,No,NIDEK CO LTD
ADI SHANKARA ENG & TECHNOLOGY INST,[Not Available],India,An educational institution providing engineering and technology education and research opportunities.,[Not Available],Education,No,No,Yes,No,NIHON FUNEN CO LTD
ADIMMUNE CORP,[Not Available],Taiwan,A biopharmaceutical company specializing in the development and manufacturing of vaccines and immunotherapies.,[Not Available],Biopharmaceutical,No,Yes,Yes,No,NIHON FUNEN KK
ADIN KENKYUSHO KK,[Not Available],Japan,A research institute focusing on advanced technologies and innovations in various fields.,[Not Available],Research and Development,No,Yes,Yes,No,NIHON PARKERISING CO LTD
ADIN RES INC,[Not Available],[Not Available],[Not Available],[Not Available],[Not Available],No,Yes,No,No,NIHON SPINDLE MFG CO LTD
ADIO CORP LTD,[Not Available],[Not Available],[Not Available],[Not Available],[Not Available],No,Yes,No,No,NIHON TOKUSHU MAKU KAIHATSU KK
