Company Name,Website,Location,About,Founded Year,Industry,Is Government Institute,Is a Private Company,Is a Research Institution,Is a Medical Center,Academic Institute Type,Academic Areas
IMPERIAL INNOVATIONS LTD,,"London, United Kingdom","Imperial Innovations Ltd is a technology commercialization company affiliated with Imperial College London, specializing in investing in and developing technologies and innovations from academic research, particularly in healthcare, engineering, and the physical sciences.",1986,Technology Transfer / Investment,No,Yes,Yes,No,,
IMPLICIT BIOSCI LTD,,,Implicit Bioscience Ltd is a biotechnology company that focuses on the discovery and development of immune-based therapies for the treatment of infectious diseases and inflammatory conditions.,,Biotechnology / Immunotherapy,No,Yes,Yes,No,,
IMPULSE LIFE LLC,,,"Impulse Life LLC is a health and wellness company that develops and markets health supplements and products aimed at improving physical and mental well-being, with a focus on natural and scientifically-backed ingredients.",,Health & Wellness,No,Yes,No,No,,
IMUNEKS FARMA ILAC SANAYI & TICARET AS,,"Istanbul, Turkey","Imuneks Farma Ilac Sanayi & Ticaret A.S. is a pharmaceutical company specializing in the development and manufacturing of immune system-enhancing drugs and vaccines, particularly for the treatment of infectious diseases.",,Pharmaceuticals / Biotechnology,No,Yes,Yes,No,,
IMUNON INC,https://imunon.com/,"Lawrenceville, New Jersey, United States","Imunon Inc., formerly known as Celsion Corporation, is a clinical-stage biotechnology company focused on developing innovative therapies for the treatment of cancer and other serious diseases using its proprietary nucleic acid-based delivery platform.",,Biotechnology / Gene Therapy,No,Yes,Yes,No,,
IMUNOSCAN ENGENHARIA MOLECULAR LTD,,,"Imunoscan Engenharia Molecular Ltd is a biotechnology company focused on the development of molecular diagnostics and therapeutic solutions for infectious diseases, leveraging advanced immunological techniques.",,Biotechnology / Molecular Diagnostics,No,Yes,Yes,No,,
IMUNOTERA SOLUCOES TERAPEUTICAS LTDA,,,Imunotera SoluÃ§Ãµes TerapÃªuticas Ltda is a biotechnology company that specializes in developing therapeutic solutions aimed at modulating the immune system to treat chronic diseases and infections.,,Biotechnology / Immunotherapy,No,Yes,Yes,No,,
IMUNOVA ANALISES BIOLOGICAS LTDA-ME,,,"Imunova AnÃ¡lises BiolÃ³gicas Ltda-ME is a laboratory company that provides specialized biological analyses and diagnostic services, focusing on immunological and infectious disease testing.",,Healthcare / Diagnostics,No,Yes,No,No,,
IN SILICO DISCOVERY RES ACADEMIC SERVICES INDRAS PRIVATE LTD,,,"In Silico Discovery Research Academic Services Indras Private Ltd is a research and development company that provides computational biology and bioinformatics services for drug discovery and development, focusing on in silico methodologies.",,Biotechnology / Computational Biology,No,Yes,Yes,No,,
IN2CURE AB,,"Lund, Sweden","In2cure AB is a biotechnology company focused on developing innovative treatments for inflammatory diseases and infections, using its proprietary technologies to target and modulate the immune response.",2013,Biotechnology / Inflammatory Diseases,No,Yes,Yes,No,,
INAF IST NAZ DI ASTROFISICA,https://www.inaf.it/,"Rome, Italy","INAF (Istituto Nazionale di Astrofisica) is Italy's national institute for astrophysics, dedicated to astronomical research and the development of technologies for space exploration and related fields.",1999,Research / Astrophysics,Yes,No,Yes,No,,
INAZUMA DENKI KOJI KK,,"Tokyo, Japan","Inazuma Denki Koji KK is an electrical engineering company that specializes in providing industrial electrical installations and maintenance services, with a focus on innovative and efficient electrical solutions.",,Electrical Engineering,No,Yes,No,No,,
INBIOME BV,,"Amsterdam, Netherlands","InBiome BV is a biotechnology company that develops advanced molecular diagnostic tools for detecting and analyzing microbiomes in various environments, including clinical and environmental settings.",,Biotechnology / Molecular Diagnostics,No,Yes,Yes,No,,
INBIOS INT INC,https://inbios.com/,"Seattle, Washington, United States","InBios International Inc. is a biotechnology company that designs, develops, and manufactures diagnostic assays for infectious diseases, including rapid tests and ELISA kits for use in both clinical and research settings.",1996,Biotechnology / Diagnostics,No,Yes,Yes,No,,
INCELLDX INC,https://www.incelldx.com/,"San Carlos, California, United States","IncellDx Inc. is a biotechnology company specializing in molecular diagnostics and prognostics, with a focus on single-cell detection and quantification of intracellular biomarkers for cancer and infectious diseases.",2009,Biotechnology / Molecular Diagnostics,No,Yes,Yes,No,,
INCONTACT INC,,,"InContact Inc. is a provider of cloud-based contact center software solutions, offering tools and services to enhance customer experience management, improve agent efficiency, and streamline communication processes.",1997,Information Technology / Customer Service Software,No,Yes,No,No,,
INCREASE INNOVATIVE MEDICINE RES,,,"Increase Innovative Medicine Research is a biotechnology company that focuses on the development of novel therapeutics and medical technologies, particularly in the areas of drug discovery and regenerative medicine.",,Biotechnology / Drug Discovery,No,Yes,Yes,No,,
IND & COMML BANK CHINA LTD,https://www.icbc.com.cn/,"Beijing, China","Industrial and Commercial Bank of China Ltd (ICBC) is one of the largest commercial banks in the world, providing a wide range of financial services including corporate banking, personal banking, and investment services.",1984,Banking / Financial Services,Yes,No,No,No,,
IND ACADEMIC COOP FOUND,,,"Industrial-Academic Cooperation Foundation (IACF) is an organization dedicated to fostering collaboration between industry and academia, facilitating research, technology transfer, and the commercialization of innovations.",,Research / Technology Transfer,No,No,Yes,No,,
IND INNOVATION CENT,,,"IND Innovation Center is a research and development organization focused on fostering innovation and technological advancements in various industrial sectors, providing resources and support for startups and established companies.",,Research & Development / Innovation,No,Yes,Yes,No,,
IND POLYMERS & CHEM INC,,,"IND Polymers & Chemical Inc. is a manufacturing company specializing in the production of high-performance polymers and chemical products used in various industrial applications, including automotive, construction, and electronics.",,Chemicals / Polymers,No,Yes,No,No,,
IND TECHNOLOGY RES INST,https://www.itri.org.tw/,"Hsinchu, Taiwan","The Industrial Technology Research Institute (ITRI) is a leading research and development organization in Taiwan, focusing on applied research and technological innovation in industries such as electronics, biotechnology, and energy.",1973,Research & Development / Technology,Yes,No,Yes,No,,
INDEVR INC,https://www.indevr.com/,"Boulder, Colorado, United States","InDevR Inc. is a biotechnology company that develops advanced analytical tools and technologies for the life sciences industry, focusing on diagnostics, vaccines, and biologicals for the detection and characterization of pathogens.",2003,Biotechnology / Diagnostics,No,Yes,Yes,No,,
INDEX BIOSYSTEMS INC,,,Index Biosystems Inc. is a biotechnology company focused on the development of biosensor technologies and diagnostic tools for the rapid detection of pathogens and other biological agents in clinical and environmental settings.,,Biotechnology / Biosensors,No,Yes,Yes,No,,
INDIAN ASSOC CULTIVATION SCI,http://www.iacs.res.in/,"Kolkata, India","The Indian Association for the Cultivation of Science (IACS) is an autonomous research institution dedicated to the advancement of scientific research in India, with a focus on basic sciences such as physics, chemistry, and biology.",1876,Research / Basic Sciences,Yes,No,Yes,No,,
INDIAN COUNCIL AGRIC RES,https://icar.org.in/,"New Delhi, India","The Indian Council of Agricultural Research (ICAR) is an apex body for coordinating, guiding, and managing research and education in agriculture in India, playing a key role in the development of new agricultural technologies and practices.",1929,Research / Agriculture,Yes,No,Yes,No,,
INDIAN COUNCIL MEDICAL RES,https://www.icmr.gov.in/,"New Delhi, India","The Indian Council of Medical Research (ICMR) is India's apex body for the formulation, coordination, and promotion of biomedical research, working towards the advancement of health through research on diseases of national importance.",1911,Research / Medical,Yes,No,Yes,No,,
INDIAN IMMUNOLOGICALS LTD,https://www.indimmune.com/,"Hyderabad, India","Indian Immunologicals Ltd is a leading biotechnology company in India, known for its production of vaccines for human and animal health, with a focus on affordable and accessible immunization solutions.",1982,Biotechnology / Vaccines,No,Yes,Yes,No,,
INDIAN MEDICAL RES COUNCIL NEW DELHI,,"New Delhi, India","Indian Medical Research Council New Delhi, likely referring to the Indian Council of Medical Research (ICMR), is the premier organization in India for the promotion and coordination of biomedical research, addressing public health issues through innovative research.",,Research / Medical,Yes,No,Yes,No,,
INDIAN OIL CORP LTD,https://www.iocl.com/,"New Delhi, India","Indian Oil Corporation Limited (IOCL) is India's largest commercial enterprise and a major player in the oil and gas industry, involved in the refining, distribution, and marketing of petroleum products, including fuel and lubricants.",1959,Oil & Gas,Yes,No,No,No,,
INDIAN SPACE RES ORG,https://www.isro.gov.in/,"Bengaluru, India","The Indian Space Research Organisation (ISRO) is India's national space agency, responsible for space exploration, satellite development, and space technology research and applications.",1969,Space Research / Aerospace,Yes,No,Yes,No,,
INDICATE BIOTECHNOLOGY SHANGHAI CO LTD,,"Shanghai, China","Indicate Biotechnology Shanghai Co. Ltd is a biotechnology company specializing in the development and commercialization of diagnostic assays and molecular biology tools, particularly for infectious diseases and cancer.",,Biotechnology / Diagnostics,No,Yes,Yes,No,,
INDICATE SOLUTIONS SL,,"Madrid, Spain","Indicate Solutions SL is a company that focuses on providing innovative diagnostic solutions and medical technologies, including advanced assays and testing platforms for various diseases.",,Biotechnology / Diagnostics,No,Yes,Yes,No,,
INDOCO REMEDIES LTD,https://www.indoco.com/,"Mumbai, India","Indoco Remedies Ltd is a pharmaceutical company engaged in the manufacturing and marketing of pharmaceuticals, including prescription medicines, over-the-counter products, and veterinary drugs.",1945,Pharmaceuticals,No,Yes,Yes,No,,
INDUS BIOTECH PRIVATE LTD,,,Indus Biotech Private Ltd is a biotechnology company focused on developing and commercializing novel biopharmaceuticals and therapeutic solutions for various health conditions.,,Biotechnology,No,Yes,Yes,No,,
INDYME SOLUTIONS LLC,https://www.indyme.com/,"Houston, Texas, United States","Indyme Solutions LLC provides advanced technology solutions for security, loss prevention, and customer service in retail environments, including electronic article surveillance and employee communication systems.",2002,Technology / Retail Solutions,No,Yes,No,No,,
INFECTION CONTROL GUARDIAN SHANDONG MEDICAL TECHNOLOGY CO LT,,"Shandong, China","Infection Control Guardian Shandong Medical Technology Co. Ltd is a company specializing in medical technology solutions aimed at infection control, including diagnostic tools and protective equipment.",,Medical Technology / Infection Control,No,Yes,Yes,No,,
INFECTIONSHIELD BIOTECH PRIVATE LTD,,,"InfectionShield Biotech Private Ltd is a biotechnology company focused on developing innovative solutions for infection prevention and control, including vaccines and therapeutic agents.",,Biotechnology / Infection Control,No,Yes,Yes,No,,
INFECTIOUS DISEASES RES INST,,,"The Infectious Diseases Research Institute is a research organization dedicated to studying infectious diseases, developing new treatments and vaccines, and improving public health outcomes through innovative research.",,Research / Infectious Diseases,No,No,Yes,No,,
INFEX THERAPEUTICS LTD,,,"Infex Therapeutics Ltd is a biotechnology company focused on developing novel therapies and treatments for infectious diseases, leveraging advanced research to create effective antiviral and antimicrobial agents.",,Biotechnology / Infectious Diseases,No,Yes,Yes,No,,
INFINITY BIOLOGIX LLC,https://www.infinitybiologix.com/,"New York, New York, United States","Infinity Biologix LLC is a biotechnology company specializing in the development and commercialization of advanced biospecimen processing and storage solutions, supporting research in genomics, proteomics, and diagnostics.",2007,Biotechnology / Biobanking,No,Yes,Yes,No,,
INFINITY BIOMARKERS,,,"Infinity Biomarkers is a biotechnology company focused on identifying and developing biomarkers for disease diagnosis, prognosis, and personalized medicine, with an emphasis on innovative diagnostic assays.",,Biotechnology / Biomarkers,No,Yes,Yes,No,,
INFIRST HEALTHCARE LTD,,,"Infirst Healthcare Ltd is a healthcare company dedicated to providing innovative medical solutions, including diagnostics and therapeutic products aimed at improving patient care and health outcomes.",,Healthcare / Medical Devices,No,Yes,Yes,No,,
INFLAMED PHARMA GMBH,https://www.inflamed.de/,"Munich, Germany","InFlamed Pharma GmbH is a pharmaceutical company focusing on developing therapies for inflammatory diseases, with an emphasis on creating innovative treatments for conditions such as rheumatoid arthritis and inflammatory bowel disease.",2013,Pharmaceuticals / Inflammatory Diseases,No,Yes,Yes,No,,
INFLAMMATIX INC,https://www.inflammatix.com/,"South San Francisco, California, United States","Inflammatix Inc. is a biotechnology company specializing in developing diagnostic tests to differentiate between bacterial and viral infections, aiming to improve patient management and treatment outcomes in infectious diseases.",2014,Biotechnology / Diagnostics,No,Yes,Yes,No,,
INFLARX GMBH,https://www.inflarx.de/,"Jena, Germany","InflaRx GmbH is a biopharmaceutical company focused on developing novel therapies for inflammatory diseases, including immune-mediated and chronic inflammatory conditions, utilizing its proprietary technology platform.",2007,Biopharmaceuticals / Inflammatory Diseases,No,Yes,Yes,No,,
INFLAVONA AB,,"Lund, Sweden","InFlavona AB is a biotechnology company specializing in the development of innovative treatments and therapies based on flavonoid compounds for various health conditions, including inflammatory and chronic diseases.",,Biotechnology / Pharmaceuticals,No,Yes,Yes,No,,
INFLUENZA SCI RES INST,,,"The Influenza Science Research Institute is dedicated to studying influenza viruses, developing new vaccines and antiviral therapies, and advancing knowledge on influenza epidemiology and public health measures.",,Research / Influenza,No,No,Yes,No,,
INFO LEAF KK,,"Tokyo, Japan","Info Leaf KK is a technology company providing IT solutions and services, including software development, data management, and digital transformation strategies for various industries.",,Information Technology,No,Yes,No,No,,
INFOLEAF INC,,,"InfoLeaf Inc. is a technology company specializing in providing information management and data analysis solutions, focusing on software development and IT services for various industry needs.",,Information Technology,No,Yes,No,No,,
INFORM INST OPERATIONS RES & MANAGEMENT,,,"Inform Institute for Operations Research and Management focuses on research and development in operations management, providing insights and solutions for optimizing business processes and operational efficiency.",,Research / Operations Management,No,No,Yes,No,,
INFORM SOFTWARE CORP,https://www.inform-software.com/,,"Inform Software Corp specializes in providing software solutions for business process optimization and decision-making, offering tools for data management, analytics, and enterprise resource planning (ERP).",,Software / IT Solutions,No,Yes,No,No,,
ING & ANALYSE & GENETIQUE ENVIRONNEMENT,,,"ING & Analyse & Genetique Environnement is a research organization specializing in genetic and environmental analysis, focusing on studying the interactions between genetics and environmental factors in various contexts.",,Research / Genetics / Environmental Science,No,Yes,Yes,No,,
INGENEW PHARMA INC,,,"InGenew Pharma Inc. is a pharmaceutical company dedicated to the development of innovative drug therapies and biopharmaceuticals, with a focus on advancing treatments for complex diseases.",,Pharmaceuticals,No,Yes,Yes,No,,
INGENIK LLC,https://www.ingenik.com/,"Durham, North Carolina, United States","Ingenik LLC is a biotechnology company that focuses on developing advanced molecular diagnostics and therapeutic solutions, particularly in the areas of genetic testing and personalized medicine.",2013,Biotechnology / Molecular Diagnostics,No,Yes,Yes,No,,
INGENIOUZ,,,"Ingeniouz is an innovation and technology company dedicated to developing cutting-edge solutions and products in various fields, including biotechnology, IT, and industrial technologies.",,Technology / Innovation,No,Yes,Yes,No,,
INGENZA LTD,https://www.ingenza.com/,"Edinburgh, United Kingdom","Ingenza Ltd is a biotechnology company that specializes in synthetic biology and enzyme technology, offering innovative solutions for industrial biotechnology and pharmaceutical applications.",2002,Biotechnology / Synthetic Biology,No,Yes,Yes,No,,
INHALIO INC,,,"Inhalio Inc. is a company focused on developing inhalation-based drug delivery systems and technologies, aiming to improve the efficacy and patient experience of respiratory therapies.",,Biotechnology / Drug Delivery,No,Yes,Yes,No,,
INHALON BIOPHARMA INC,https://www.inhalon.com/,"Durham, North Carolina, United States","Inhalon Biopharma Inc. is a biotechnology company developing innovative inhaled therapies for respiratory and other diseases, utilizing its proprietary technology to enhance drug delivery and efficacy.",2014,Biotechnology / Respiratory Therapies,No,Yes,Yes,No,,
INHIBIKASE THERAPEUTICS INC,https://www.inhibikase.com/,"Atlanta, Georgia, United States","Inhibikase Therapeutics Inc. is a biotechnology company focused on developing therapies for neurodegenerative diseases and cancer, utilizing its proprietary small molecule inhibitors to target disease pathways.",2008,Biotechnology / Therapeutics,No,Yes,Yes,No,,
